names,places,ranks,scores,address,links,imgs
国金中心商场(上海店),上海,1,4.7,世纪大道8号(近银城中路),https://you.ctrip.com/shopping/shanghai2/1357606.html,https://dimg04.c-ctrip.com/images/1A0c1b000001by01s0761_C_220_140.jpg
比斯特上海购物村,上海,2,4.7,上海市浦东新区申迪东路88号（上海国际旅游度假区内）,https://you.ctrip.com/shopping/shanghai2/1450411.html,https://dimg04.c-ctrip.com/images/0104e12000a7kw8cf4549_C_220_140.jpg
正大广场,上海,3,4.5,陆家嘴西路168号（近东方明珠）,https://you.ctrip.com/shopping/shanghai2/109368.html,https://dimg04.c-ctrip.com/images/1A0q1c000001dzzzoA275_C_220_140.jpg
佛罗伦萨小镇（上海名品奥特莱斯...,上海,4,4.6,中国上海市浦东新区卓耀路58弄,https://you.ctrip.com/shopping/shanghai2/20312.html,https://dimg04.c-ctrip.com/images/0106x12000a3r3zde6DB4_C_220_140.jpg
静安大悦城,上海,5,4.6,西藏北路166号南座S1-08,https://you.ctrip.com/shopping/shanghai2/1357571.html,https://dimg04.c-ctrip.com/images/100t080000003c0kp8BFC_C_220_140.jpg
金桥国际商业广场,上海,6,4.6,金桥路和张杨路交叉口旁（金桥地铁站旁）,https://you.ctrip.com/shopping/shanghai2/109301.html,https://dimg04.c-ctrip.com/images/100v0h00000092s2xF7D0_C_220_140.jpg
环贸iapm商场,上海,7,4.7,淮海中路999号（陕西南路288号）,https://you.ctrip.com/shopping/shanghai2/1363017.html,https://dimg04.c-ctrip.com/images/100g0g0000007t4ar1E13_C_220_140.jpg
久光百货,上海,8,4.6,南京西路1618号(近静安寺),https://you.ctrip.com/shopping/shanghai2/109303.html,https://dimg04.c-ctrip.com/images/100g0g0000007t4ce8669_C_220_140.jpg
长泰广场,上海,9,4.7,"金科路2889号（金科路和祖冲之路交叉口东北角,近2号线金科路地铁站）",https://you.ctrip.com/shopping/shanghai2/1370856.html,https://dimg04.c-ctrip.com/images/10090h00000093lz10D54_C_220_140.jpg
万达广场(宝山店),上海,10,4.4,一二八纪念路988弄(近共康路地铁站),https://you.ctrip.com/shopping/shanghai2/1370875.html,https://dimg07.c-ctrip.com/images/fd/tg/g1/M0B/59/28/CghzflTSz9iAOs3fAACip2B6idE363_C_220_140.jpg
港汇恒隆广场,上海,11,4.6,上海市徐汇区虹桥路1号（华山路口）,https://you.ctrip.com/shopping/shanghai2/109286.html,https://dimg04.c-ctrip.com/images/1A0b12000000rmicr929F_C_220_140.jpg
上海K11购物艺术中心,上海,12,4.7,上海市淮海中路300号(近黄陂南路),https://you.ctrip.com/shopping/shanghai2/1361516.html,https://dimg04.c-ctrip.com/images/0104512000a0a7f1f400C_C_220_140.jpg
第一百货商业中心,上海,13,4.5,上海市黄浦区南京东路800-830号,https://you.ctrip.com/shopping/shanghai2/1357471.html,https://dimg04.c-ctrip.com/images/0102n120009269jkyFBDD_C_220_140.jpg
日月光中心广场,上海,14,4.5,徐家汇路618号（近瑞金二路）,https://you.ctrip.com/shopping/shanghai2/1360505.html,https://dimg04.c-ctrip.com/images/01A73120009456n8b89B0_C_220_140.jpg
上海来福士广场,上海,15,4.6,西藏中路268号,https://you.ctrip.com/shopping/shanghai2/1370837.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M04/99/64/CghzflS1QKSACFvoAAB0VPsejgg440_C_220_140.jpg
