names,places,links,imgs,scores,address,ranks
Makola Market,阿克拉,https://you.ctrip.com/shopping/accra22026/2567841.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M01/CA/4A/CghzgVW7TBSARI-cAAA6ElKZY5c811_C_220_140.jpg,5.0,"Ghana,Accra,Selwyn Market Street,",1
Accra Mall,阿克拉,https://you.ctrip.com/shopping/accra22026/5295579.html,https://dimg04.c-ctrip.com/images/100j14000000w2s5mD35F_C_220_140.jpg,5.0,"Spintex Rd, Accra, Ghana",2
Marina Mall,阿克拉,https://you.ctrip.com/shopping/accra22026/5310993.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,"Accra, Ghana",3
阿迪达斯,阿克拉,https://you.ctrip.com/shopping/accra22026/2541124.html,https://dimg04.c-ctrip.com/images/100j180000013vrci9427_C_220_140.jpg,,"No. 10, Nortei Ababio Street",4
Texpo Market,阿克拉,https://you.ctrip.com/shopping/accra22026/5347774.html,https://dimg04.c-ctrip.com/images/100614000000w3ih5EC96_C_220_140.jpg,,"Texpo Market, Spintex Rd, Ghana",5
Junction Mall Nungua,阿克拉,https://you.ctrip.com/shopping/accra22026/5331868.html,https://dimg04.c-ctrip.com/images/100n14000000w24aq6699_C_220_140.jpg,,"Nungua, Mokwe St, Accra, Ghana",6
Pure Tablets,塞舌尔,https://you.ctrip.com/shopping/maheisland1805/5329461.html,https://dimg04.c-ctrip.com/images/100q14000000w48r07254_C_220_140.jpg,5.0,"Liberty House PO Box 1213, Mahe Island, Seychelles",1
Cellular Services,塞舌尔,https://you.ctrip.com/shopping/seychelles2134139/138595674.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"9FF3+6JX, Francis Rachel St, Seychelles",2
Kot Kani Shop கோத் கனி சாப்,塞舌尔,https://you.ctrip.com/shopping/seychelles2134139/137926224.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"Near Del place Restaurant, Port Launay Rd, Seychelles",3
Veni Shopping Centre,塞舌尔,https://you.ctrip.com/shopping/seychelles2134139/137295082.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"9F67+VHH, Victoria, Seychelles",4
Eden Plaza,塞舌尔,https://you.ctrip.com/shopping/seychelles2134139/137409093.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"9F5G+PC4, Providence, Seychelles",5
VU Laundry,塞舌尔,https://you.ctrip.com/shopping/seychelles2134139/138745786.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"9FH2+VJ3, Victoria, Seychelles",6
Jouel,塞舌尔,https://you.ctrip.com/shopping/seychelles2134139/136122146.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"The Quadrant, Victoria, Mahe Island Seychelles",7
RM Valli Shop,塞舌尔,https://you.ctrip.com/shopping/seychelles2134139/138633249.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"8FHW+QRC, Providence, Seychelles",8
Orion Mall,塞舌尔,https://you.ctrip.com/shopping/seychelles2134139/136988409.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"9FJ3+3QX, Palm St, Victoria, Seychelles",9
