names,places,links,imgs,scores,address,ranks
安溪人茶庄,抚州,https://you.ctrip.com/shopping/lichuan2421/1837621.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,4.9,京川大道,24
家家乐购物广场(黎川店),抚州,https://you.ctrip.com/shopping/lichuan2421/2095479.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,5.0,财富商业步行街,25
大润发(金巢大道店),抚州,https://you.ctrip.com/shopping/fuzhou875/1817848.html,https://dimg04.c-ctrip.com/images/100h170000013aoie9396_C_220_140.png,4.5,金巢大道132号,26
开心购物,抚州,https://you.ctrip.com/shopping/fuzhou875/1863749.html,https://dimg07.c-ctrip.com/images/100e16000000zie5k1520_C_220_140.jpg,5.0,金巢大道诚诚商行旁,27
丰收水果大卖场,抚州,https://you.ctrip.com/shopping/nanfeng2435/1729912.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,5.0,桔都大道千禧菜市场斜对面,28
好美家,抚州,https://you.ctrip.com/shopping/fuzhou875/1830891.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,5.0,环城南路114附近,29
义乌小商品直销超市东乡店(东乡...,抚州,https://you.ctrip.com/shopping/fuzhou875/1731658.html,https://dimg04.c-ctrip.com/images/100c1900000171a9nC332_C_220_140.jpg,5.0,恒安西路二江超市附近,30
怀仁大药房,抚州,https://you.ctrip.com/shopping/jinxi2405/2079619.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/1E/CghzfVW7TBaAN__3AAA-SNUIFfg035_C_220_140.jpg,,秀谷中大道奥丝蓝黛旁(日新百货购物广场北),31
牛仔小炒,抚州,https://you.ctrip.com/shopping/yihuang1445979/1947594.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,5.0,嵩湖乡政府路36号(嵩湖中学对面),32
灰常好吃零食铺,抚州,https://you.ctrip.com/shopping/fuzhou875/1947927.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/1E/CghzfVW7TBaAN__3AAA-SNUIFfg035_C_220_140.jpg,5.0,青云峰路13号,33
茶叶世界,抚州,https://you.ctrip.com/shopping/chongren2388/2012646.html,https://dimg04.c-ctrip.com/images/100e190000016aznw43AE_C_220_140.jpg,5.0,胜利路55-附2附近,34
世纪花城,抚州,https://you.ctrip.com/shopping/fuzhou875/1720672.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,5.0,上顿渡上岛咖啡楼下(豪鼎才苑小区楼下，区政府后面),35
伊味儿休闲食品,抚州,https://you.ctrip.com/shopping/lichuan2421/1747377.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/1E/CghzfVW7TBaAN__3AAA-SNUIFfg035_C_220_140.jpg,5.0,东方红大道353号（美丽网斜对面，二小往财富广场方向）(大口九，麦滋鸡，开心人药店),36
全天便利店,抚州,https://you.ctrip.com/shopping/fuzhou875/1760054.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,4.5,赣东大道1399号(近城市星座)(城市星座),37
海澜之家(盱江步行街店),抚州,https://you.ctrip.com/shopping/nancheng2431/1937398.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,5.0,盱江步行街万家福购物广场南侧,38
国贸机购,抚州,https://you.ctrip.com/shopping/nancheng2431/3304680.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,5.0,盱江大道271号,39
芙蓉兴盛(赣东大道),抚州,https://you.ctrip.com/shopping/fuzhou875/2005260.html,https://dimg02.c-ctrip.com/images/100w16000000zq0yj4B7E_C_220_140.jpg,5.0,赣东大道瑞日嘉园3期北,40
新百佳惠购物广场,抚州,https://you.ctrip.com/shopping/chongren2388/3393770.html,https://dimg04.c-ctrip.com/images/100g190000017v166A2B0_C_220_140.jpg,5.0,抚州市崇仁县,41
n多(抚州店),抚州,https://you.ctrip.com/shopping/fuzhou875/1701732.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,5.0,学府路332号,42
周六福珠宝,抚州,https://you.ctrip.com/shopping/nancheng2431/1797593.html,https://dimg04.c-ctrip.com/images/1001170000012mlex7EFB_C_220_140.jpg,5.0,旴江步行街南城水务局旁,43
丰客隆购物广场,抚州,https://you.ctrip.com/shopping/yihuang1445979/3398922.html,https://dimg04.c-ctrip.com/images/100q190000017y6ag3357_C_220_140.jpg,5.0,抚州市宜黄县,44
旺佳鞋超,抚州,https://you.ctrip.com/shopping/chongren2388/1896135.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,5.0,胜利路100号,45
新华书店,芦溪,https://you.ctrip.com/shopping/luxi1445977/1881831.html,https://dimg04.c-ctrip.com/images/100b170000013bi5w7973_C_220_140.jpg,4.8,人民东路123号(芦溪县林业局东南),1
