names,places,popularity,scores,links,imgs
南澳岛,南澳,8.3,4.5,https://you.ctrip.com/sight/nanao958/17810.html,https://dimg04.c-ctrip.com/images/100d1f000001gosu27500_C_220_140.jpg
青澳湾,南澳,6.8,4.6,https://you.ctrip.com/sight/nanao958/50155.html,https://dimg04.c-ctrip.com/images/0105f12000b8ldgmc138C_C_220_140.jpg
东山岛,南澳,8.2,4.6,https://you.ctrip.com/sight/dongshan2662/17147.html,https://dimg04.c-ctrip.com/images/100h1f000001grwd47039_C_220_140.jpg
总兵府,南澳,6.2,4,https://you.ctrip.com/sight/nanao958/1714961.html,https://dimg04.c-ctrip.com/images/0102s120009kjqyjxB204_C_220_140.jpg
汕头老城,南澳,7.1,4.4,https://you.ctrip.com/sight/shantou215/50159.html,https://dimg04.c-ctrip.com/images/100a1b000001byndiDC57_C_220_140.jpg
广济桥,南澳,7.3,4.6,https://you.ctrip.com/sight/chaozhou467/56634.html,https://dimg04.c-ctrip.com/images/10031900000164xdiD6EC_C_220_140.jpg
金银岛,南澳,5.8,4.1,https://you.ctrip.com/sight/nanao958/131150.html,https://dimg04.c-ctrip.com/images/0106h12000apm0d5r00E1_C_220_140.jpg
南澳岛宋井,南澳,5.7,3.9,https://you.ctrip.com/sight/nanao958/1832599.html,https://dimg04.c-ctrip.com/images/0104i120009hzqldgDBF6_C_220_140.jpg
潮州古城,南澳,7.1,4.5,https://you.ctrip.com/sight/chaozhou467/145618.html,https://dimg04.c-ctrip.com/images/0106g1200086whnyf0883_C_220_140.jpg
鱼骨沙洲,南澳,6.7,4.1,https://you.ctrip.com/sight/dongshan2662/5013395.html,https://dimg04.c-ctrip.com/images/100w1f000001gwdbdBB02_C_220_140.jpg
南澳大桥,南澳,5.7,4.4,https://you.ctrip.com/sight/nanao958/131138.html,https://dimg04.c-ctrip.com/images/100c1f000001gsx17EFFF_C_220_140.jpg
青岚怪臼谷国家地质公园,南澳,6.6,4.3,https://you.ctrip.com/sight/raoping2932/56859.html,https://dimg04.c-ctrip.com/images/350p0t000000inpv3F741_C_220_140.jpg
方特欢乐世界蓝水星,南澳,5.9,4.2,https://you.ctrip.com/sight/shantou215/109996.html,https://dimg04.c-ctrip.com/images/100g1f000001gr0uk72D8_C_220_140.jpg
汕头小公园,南澳,6.4,4.3,https://you.ctrip.com/sight/shantou215/1646565.html,https://dimg04.c-ctrip.com/images/10091a0000019klo41850_C_220_140.jpg
三囱崖灯塔,南澳,5.4,4.4,https://you.ctrip.com/sight/nanao958/5073203.html,https://dimg04.c-ctrip.com/images/0103f1200092m18ml3C1E_C_220_140.jpg
青澳湾北回归线广场,南澳,5.3,4.3,https://you.ctrip.com/sight/nanao958/3398024.html,https://dimg04.c-ctrip.com/images/0104d1200094134lc9C80_C_220_140.jpg
自然之门,南澳,5.3,4.5,https://you.ctrip.com/sight/nanao958/1714919.html,https://dimg04.c-ctrip.com/images/10051f000001gstms994D_C_220_140.jpg
牌坊街,南澳,6.6,4.5,https://you.ctrip.com/sight/chaozhou467/131443.html,https://dimg04.c-ctrip.com/images/100q1f000001grkel4BC3_C_220_140.jpg
东山风动石景区,南澳,6.9,4.4,https://you.ctrip.com/sight/dongshan2662/140554.html,https://dimg04.c-ctrip.com/images/0105r120008e8m86jAD17_C_220_140.jpg
礐石风景区,南澳,6.1,4.5,https://you.ctrip.com/sight/shantou215/17812.html,https://dimg04.c-ctrip.com/images/100p1f000001gpe7r93BD_C_220_140.jpg
钱澳湾灯塔,南澳,5.0,5,https://you.ctrip.com/sight/nanao958/67828133.html,https://dimg04.c-ctrip.com/images/01052120008hwsywvCA76_C_220_140.jpg
汕头狮子城（原汕头欧美文化小镇...,南澳,5.7,4.5,https://you.ctrip.com/sight/shantou215/5601346.html,https://dimg04.c-ctrip.com/images/350v170000011qy7g7AF0_C_220_140.jpg
观海长廊,南澳,5.6,4.5,https://you.ctrip.com/sight/shantou215/17817.html,https://dimg04.c-ctrip.com/images/10021f000001gxdda4270_C_220_140.jpg
韩文公祠,南澳,6.1,4.6,https://you.ctrip.com/sight/chaozhou467/56645.html,https://dimg04.c-ctrip.com/images/100311000000r41h77CEE_C_220_140.jpg
后花园生态旅游村,南澳,4.7,2.8,https://you.ctrip.com/sight/nanao958/69101573.html,https://dimg06.c-ctrip.com/images/0103v120009e14oud27EE_C_220_140.jpg
南澳风力发电游览区,南澳,4.6,4.2,https://you.ctrip.com/sight/nanao958/131153.html,https://dimg04.c-ctrip.com/images/0100p120008jrqyuoA4D8_C_220_140.jpg
潮州西湖,南澳,6.0,4.5,https://you.ctrip.com/sight/chaozhou467/56665.html,https://dimg04.c-ctrip.com/images/100c0h0000008wjvm1C9F_C_220_140.jpg
老妈宫,南澳,5.5,4.4,https://you.ctrip.com/sight/shantou215/17818.html,https://dimg04.c-ctrip.com/images/01008120009dbs7vgE5C9_C_220_140.jpg
妈屿岛,南澳,5.2,4.5,https://you.ctrip.com/sight/shantou215/17814.html,https://dimg04.c-ctrip.com/images/0104q120006di94i67084_C_220_140.jpg
航运前江湾沙滩公园,南澳,4.4,4.6,https://you.ctrip.com/sight/nanao958/5716453.html,https://dimg05.c-ctrip.com/images/0106t120008tlqdr7D429_C_220_140.jpg
南澳岛大尖山,南澳,4.4,4.3,https://you.ctrip.com/sight/nanao958/90498396.html,https://dimg04.c-ctrip.com/images/0101n12000bc5faub44EF_C_220_140.jpg
黄花山森林公园,南澳,4.4,4.2,https://you.ctrip.com/sight/nanao958/1831377.html,https://dimg04.c-ctrip.com/images/0103k12000atts10g493E_C_220_140.jpg
汛洲岛,南澳,4.4,4.4,https://you.ctrip.com/sight/raoping2932/2503828.html,https://dimg04.c-ctrip.com/images/0102g1200085rquno423A_C_220_140.jpg
龙湖古寨,南澳,5.5,4.3,https://you.ctrip.com/sight/chaozhou467/56809.html,https://dimg04.c-ctrip.com/images/100s0z000000nollt70BF_C_220_140.jpg
长山尾炮台,南澳,4.3,4.3,https://you.ctrip.com/sight/nanao958/131151.html,https://dimg04.c-ctrip.com/images/01054120009qrhmeh5960_C_220_140.png
