names,places,ranks,scores,address,links,imgs
胜大超市(中乐店),东营,31,4.4,东赵太行山路与中乐路交汇处,https://you.ctrip.com/shopping/dongying612/1999347.html,https://dimg04.c-ctrip.com/images/10071700000129qhoB5EC_C_220_140.jpg
华联超市,东营,32,5.0,广兴路,https://you.ctrip.com/shopping/dongying612/2077453.html,https://dimg04.c-ctrip.com/images/100218000001457q3FEC3_C_220_140.jpg
胜大超市(万达广场店),东营,33,4.1,北一路石油大学南门万达广场B1楼,https://you.ctrip.com/shopping/dongying612/2000482.html,https://dimg04.c-ctrip.com/images/100s1c000001chm5uFC06_C_220_140.jpg
新世纪购物广场,东营,34,5.0,乐安大街(近月河公园),https://you.ctrip.com/shopping/guangrao1769/1884366.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg
万叶书园(书城店),东营,35,5.0,济南路供销商场对面,https://you.ctrip.com/shopping/dongying612/1715592.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M0A/CA/9D/Cghzf1W7TBeAEvW5AAA_rwrOyNg754_C_220_140.jpg
丽日鲜花,东营,36,5.0,淄博路126号(西四路淄博路交叉口向西350米),https://you.ctrip.com/shopping/dongying612/1729363.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg
谭木匠(D977店),东营,37,4.0,兴隆路142-9号,https://you.ctrip.com/shopping/dongying612/2025280.html,https://dimg04.c-ctrip.com/images/100l1800000141u49E7D7_C_220_140.jpg
一号海参,东营,38,5.0,开发区沂州路与黄河路交叉口,https://you.ctrip.com/shopping/dongying612/1708744.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg
艳清副食百货商店,东营,39,4.4,西五区雅苑,https://you.ctrip.com/shopping/dongying612/2005864.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg
花儿为什么这样红鲜花总批发,东营,40,5.0,西城燕山路与商河路交叉路口西北角,https://you.ctrip.com/shopping/dongying612/2006651.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg
吉盟珠宝(银座商城东城店),东营,41,5.0,东3路138号银座购物广场(东城店)1层,https://you.ctrip.com/shopping/dongying612/1791324.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M07/01/C2/CghzflW7TBaAEepGAAA_cKJq0PU514_C_220_140.jpg
光明眼镜,东营,42,5.0,振兴路68-9号,https://you.ctrip.com/shopping/dongying612/1757937.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg
一品药店(胜康店),东营,43,4.5,华纳大街贝儿婴幼园旁,https://you.ctrip.com/shopping/dongying612/1708244.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/1E/CghzfVW7TBaAN__3AAA-SNUIFfg035_C_220_140.jpg
万达食品冷鲜肉,东营,44,5.0,同悦小区旁,https://you.ctrip.com/shopping/guangrao1769/1714481.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg
飞宇购物超市,东营,45,5.0,二院对面,https://you.ctrip.com/shopping/guangrao1769/2066384.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg
