names,places,links,imgs,scores,address,ranks
Spinners Web,内罗毕,https://you.ctrip.com/shopping/nairobi795/1452039.html,https://dimg04.c-ctrip.com/images/100t070000002s25b2862_C_220_140.jpg,4.6,"1.3A Kitisuru Road, Nairobi",5
ABC Place,内罗毕,https://you.ctrip.com/shopping/nairobi795/1452019.html,https://dimg04.c-ctrip.com/images/1003070000002s2457C85_C_220_140.jpg,4.9,"Waiyaki Way, Nairobi",6
The Talisman,内罗毕,https://you.ctrip.com/shopping/nairobi795/1452048.html,https://dimg04.c-ctrip.com/images/100l070000002s2cp3867_C_220_140.jpg,4.9,肯尼亚内罗毕320昂路凯伦,7
City Market,内罗毕,https://you.ctrip.com/shopping/nairobi795/1452020.html,https://dimg04.c-ctrip.com/images/100e070000002s25d78A0_C_220_140.jpg,4.6,"Muindi Mbingu St, Nairobi",8
Kengeles Lavington Green,内罗毕,https://you.ctrip.com/shopping/nairobi795/1452040.html,https://dimg06.c-ctrip.com/images/100n070000002s29p10EB_C_220_140.jpg,4.5,肯尼亚内罗毕拉文顿购物中心,9
Village Market购物中心,内罗毕,https://you.ctrip.com/shopping/nairobi795/1362822.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M04/BB/D1/CghzgVSo0lmASj7FAAGKACP9Dik986_C_220_140.jpg,4.8,"Village Market Shopping Mall, Nairobi",10
木之缘精品店,内罗毕,https://you.ctrip.com/shopping/nairobi795/107466.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/1E/CghzfVW7TBaAN__3AAA-SNUIFfg035_C_220_140.jpg,4.7,"Westlands Rd, Nairobi",11
陶艺工厂,内罗毕,https://you.ctrip.com/shopping/nairobi795/1449962.html,https://dimg04.c-ctrip.com/images/fd/tg/g5/M00/D7/57/CggYr1bIHf2AWHQIAAMx5I1HiWY613_C_220_140.jpg,4.3,"Langata Rd, Nairobi",12
Naivas Supermarket,内罗毕,https://you.ctrip.com/shopping/nairobi795/2569580.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,3.5,Waiyaki Way(The Mall Westlands底商),13
Nakumatt - Westgate,内罗毕,https://you.ctrip.com/shopping/nairobi795/2624952.html,https://dimg04.c-ctrip.com/images/100q0e0000006ysbhD1DC_C_220_140.jpg,5.0,"2nd floor of Westgate Shooping Mall, Mwanzi Road, Nairobi, Kenya",14
肯中超市,内罗毕,https://you.ctrip.com/shopping/nairobi795/2459890.html,https://dimg04.c-ctrip.com/images/10051d000001el048624F_C_220_140.jpg,4.8,Argwings Kodhek Road(肯中超市)(菜篮子超市斜对面),15
Yaya Centre,内罗毕,https://you.ctrip.com/shopping/nairobi795/1693362.html,https://dimg04.c-ctrip.com/images/1003fk124hhkcx474527C_C_220_140.jpg,4.0,"Argwings Kodhek Road, Nairobi, Kenya",16
Two Reviers Mall,内罗毕,https://you.ctrip.com/shopping/nairobi795/4380018.html,https://dimg04.c-ctrip.com/images/10051b000001bo3jyD46D_C_220_140.jpg,,Limuru Road Nairobi KE,17
Rosslyn Riviera Mall,内罗毕,https://you.ctrip.com/shopping/nairobi795/78722227.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,"Limuru Road | 200m after Runda Entrance, Nairobi 45922, Kenya",18
