names,places,links,imgs,scores,address,ranks
hotwind(南国花锦店),贵阳,https://you.ctrip.com/shopping/guiyang33/1701275.html,https://dimg04.c-ctrip.com/images/100s170000012gjn23CC8_C_220_140.jpg,4.8,中华中路130号南国花锦购物中心5层,35
名创优品(贵阳解放路店),贵阳,https://you.ctrip.com/shopping/guiyang33/1788010.html,https://dimg04.c-ctrip.com/images/1004170000011cl40306B_C_220_140.jpg,4.8,解放路100号鸿通城购物中心二楼,36
hotwind(贵阳金阳店),贵阳,https://you.ctrip.com/shopping/guiyang33/1699078.html,https://dimg04.c-ctrip.com/images/100s170000012gjn23CC8_C_220_140.jpg,4.5,金阳新区金阳南路6号,37
清鼻堂,贵阳,https://you.ctrip.com/shopping/guiyang33/1453461.html,https://dimg04.c-ctrip.com/images/100o0b0000005xm9r9BCE_C_220_140.jpg,4.5,贵阳市大营路83号,38
ZARA,贵阳,https://you.ctrip.com/shopping/guiyang33/1694319.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,4.6,中华南路23号,39
中石化易捷便利店(机场路店),贵阳,https://you.ctrip.com/shopping/guiyang33/1729176.html,https://dimg04.c-ctrip.com/images/10031b000001a7x6y24B3_C_220_140.jpg,4.3,贵阳油小公路K6+520处,40
MUJI(亨特国际广场店),贵阳,https://you.ctrip.com/shopping/guiyang33/1890099.html,https://dimg03.c-ctrip.com/images/01072120008b1yrut30F7_C_220_140.jpg,5.0,文昌南路70号亨特国际广场1层,41
新华都购物广场,贵阳,https://you.ctrip.com/shopping/guiyang33/2093890.html,https://dimg04.c-ctrip.com/images/100q1800000147j5qB10E_C_220_140.jpg,4.5,富水北路68号,42
黔秀元土特产超市,贵阳,https://you.ctrip.com/shopping/guiyang33/1444141.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/FD/CghzfFW7TBSADCwmAAA_QkCyQxc009_C_220_140.jpg,4.4,贵阳市南明区油小线（多彩贵州城旁）,43
UGG(南国花锦店),贵阳,https://you.ctrip.com/shopping/guiyang33/1692611.html,https://dimg04.c-ctrip.com/images/100g170000012ad162462_C_220_140.jpg,4.7,中华中路130号南国花锦购物中心1层,44
贵州省博物馆创意店,贵阳,https://you.ctrip.com/shopping/guiyang33/4232753.html,https://dimg04.c-ctrip.com/images/01A09120008ypfwvw784A_C_220_140.jpg,5.0,贵州省博物馆内2楼及1楼大厅,45
国贸购物中心,遵义,https://you.ctrip.com/shopping/zunyi204/2101464.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.5,珠海路1号附2号,1
中国茶城,遵义,https://you.ctrip.com/shopping/meitan2364/1450387.html,https://dimg04.c-ctrip.com/images/fd/tg/g6/M07/A1/AD/CggYs1cwcNiAWlJpAAZHnXklPu0303_C_220_140.jpg,4.6,遵义市湄潭县天文大道（326国道）近翠芽路,2
好乐购购物广场(龙坪店),遵义,https://you.ctrip.com/shopping/zunyi204/1828361.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.6,步行街,3
贵福金街,遵义,https://you.ctrip.com/shopping/chishui1770/2100745.html,https://dimg04.c-ctrip.com/images/100m17000001280lj8ABB_C_220_140.jpg,4.9,贵富金街,4
遵义国贸广场,遵义,https://you.ctrip.com/shopping/zunyi204/2094172.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.4,中山路103号,5
星力城A馆,遵义,https://you.ctrip.com/shopping/zunyi204/2446388.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.3,万里路街道万里路与洗花路交叉口东50米,6
肯德基宅急送(港澳广场店),遵义,https://you.ctrip.com/shopping/zunyi204/2002281.html,https://dimg04.c-ctrip.com/images/0105h120008eywxow8BC5_C_220_140.jpg,4.7,澳门路36号,7
贵州遵义百盛(民主路店),遵义,https://you.ctrip.com/shopping/zunyi204/2096394.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.0,民主路老城新街B区,8
岛内价(中华路店),遵义,https://you.ctrip.com/shopping/zunyi204/1854857.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.6,中华路市民广场负一楼,9
