names,places,links,imgs,scores,address,ranks
易捷便利店,五台,https://you.ctrip.com/shopping/wutai1446115/3521211.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,云海街与311省道交叉口北100米,15
昆仑好客便利店(台城镇中心卫生...,五台,https://you.ctrip.com/shopping/wutai1446115/3065880.html,https://dimg04.c-ctrip.com/images/1005180000013yr0a5843_C_220_140.jpg,,310省道佛海桥路口附近,16
易捷便利店(银都山庄东),五台,https://you.ctrip.com/shopping/wutai1446115/3369204.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,山西省忻州市五台县台怀镇五台山风景区石油宾馆附近,17
惠民超市,五台,https://you.ctrip.com/shopping/wutai1446115/3887906.html,https://dimg04.c-ctrip.com/images/100e170000012cf6i3AAC_C_220_140.jpg,,古城路与学府街交叉口东150米,18
佳乐超市(台怀街),五台,https://you.ctrip.com/shopping/wutai1446115/3369205.html,https://dimg04.c-ctrip.com/images/100q0e0000006ysbhD1DC_C_220_140.jpg,,山西省忻州市五台县,19
石咀绿源水产蔬菜批发零售部,五台,https://you.ctrip.com/shopping/wutai1446115/70134660.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,山西省忻州市五台县石咀乡石咀村,20
晋运水果蔬菜,五台,https://you.ctrip.com/shopping/wutai1446115/70123577.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,文昌路与向前街交叉口东,21
芝兰肉店,五台,https://you.ctrip.com/shopping/wutai1446115/70141254.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,山西省忻州市五台县台城镇新建路台城金时代购物广场北,22
香火一条街,五台,https://you.ctrip.com/shopping/wutai1446115/70150828.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,忻州市五台县台怀镇五台山风景名胜区内,23
宏伟熟肉水产批发,五台,https://you.ctrip.com/shopping/wutai1446115/70138336.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,新建路与泰安街交叉口西,24
