names,places,links,imgs,scores,address,ranks
T.J. Maxx,休斯敦,https://you.ctrip.com/shopping/clearlakecity39144/77532420.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M07/01/C2/CghzflW7TBaAEepGAAA_cKJq0PU514_C_220_140.jpg,,"3355 Clear Lake City Blvd, Houston, TX 77059",6
HomeGoods,休斯敦,https://you.ctrip.com/shopping/houston943/77524625.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,,"7038 Hwy 6 North, Houston, TX 77095",7
Marshalls HomeGoods,休斯敦,https://you.ctrip.com/shopping/houston943/77562719.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,,"5000 Westheimer Road, Houston, TX 77056",8
Nordstrom Rack,休斯敦,https://you.ctrip.com/shopping/houston943/77533466.html,https://dimg04.c-ctrip.com/images/100s0e0000006yum3B8EB_C_220_140.jpg,,"9714 Katy Freeway, Houston, TX 77055",9
Sesepei,休斯敦,https://you.ctrip.com/shopping/houston943/77526253.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M08/B4/1D/CghzfVW7TBWAIcNtAAA29xzKGmc176_C_220_140.jpg,,"5614 W. Grand Parkway South, Richmond, TX 77407",10
Pier 1,休斯敦,https://you.ctrip.com/shopping/houston943/77491326.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,"6815 Hwy 6 N, Houston, TX 77084-1315",11
Marshalls,休斯敦,https://you.ctrip.com/shopping/houston943/77564698.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,,"5760 Hollister St, Houston, TX 77040",12
Pier 1 Clearance Store,休斯敦,https://you.ctrip.com/shopping/houston943/77492412.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,"17725 Tomball Parkway, Houston, TX 77064-1010",13
T.J. Maxx,休斯敦,https://you.ctrip.com/shopping/houston943/77564725.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M07/01/C2/CghzflW7TBaAEepGAAA_cKJq0PU514_C_220_140.jpg,,"5319 FM 1960 S-B, Houston, TX 77069",14
HomeGoods,休斯敦,https://you.ctrip.com/shopping/houston943/77503007.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,,"7690 Cypress Creek Parkway, Houston, TX 77070",15
