names,places,links,imgs,scores,address,ranks
Manor购物中心（日内瓦店）,日内瓦,https://you.ctrip.com/shopping/geneva302/1450621.html,https://dimg04.c-ctrip.com/images/100i050000000cnrbB54A_C_220_140.jpg,4.7,"Rue Cornavin 6, 1201 Genf 1",1
Globus（日内瓦店）,日内瓦,https://you.ctrip.com/shopping/geneva302/1450616.html,https://dimg04.c-ctrip.com/images/100c050000000cmgmC1D9_C_220_140.jpg,4.4,"Grands Magasins Globus SA, rue du Rhône 48, 1204 Genève",2
罗纳巧克力厂,日内瓦,https://you.ctrip.com/shopping/geneva302/1450601.html,https://dimg04.c-ctrip.com/images/100u050000000ckw9EB1E_C_220_140.jpg,4.5,"Rue de la Confédération 3, P.O. Box 5241, 1211 Geneva",3
罗纳街,日内瓦,https://you.ctrip.com/shopping/geneva302/1450591.html,https://dimg04.c-ctrip.com/images/100o050000000ck4p0289_C_220_140.jpg,4.4,"Rue du Rhône, Genève",4
Auer Chocolatier,日内瓦,https://you.ctrip.com/shopping/geneva302/1450611.html,https://dimg04.c-ctrip.com/images/1004050000000clpkAE91_C_220_140.jpg,4.3,"Rue de Rive, 4 CH-1204 Genève",5
卡地亚（瑞士日内瓦店）,日内瓦,https://you.ctrip.com/shopping/geneva302/18042.html,https://dimg04.c-ctrip.com/images/0103s12000agrdnudCA76_C_220_140.jpg,4.7,"""Rue du Rhône 35, 1204 Genève, 瑞士""",6
倩碧(S.A.F.I.),日内瓦,https://you.ctrip.com/shopping/geneva302/2520097.html,https://dimg04.c-ctrip.com/images/100u17000001393526BBF_C_220_140.jpg,4.7,Palais des Nations,7
范思哲（日内瓦店）,日内瓦,https://you.ctrip.com/shopping/geneva302/2555252.html,https://dimg07.c-ctrip.com/images/100u0q000000gbgex4DD7_C_220_140.jpg,4.0,"90, Rue Du Rhone Geneve,1204 Svizzera",8
coop连锁超市,日内瓦,https://you.ctrip.com/shopping/geneva302/2365561.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,4.5,Pâquis-NationsPâquis-Temple1,9
coop超市,日内瓦,https://you.ctrip.com/shopping/geneva302/1699871.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,4.8,Pâquis-NationsRue de Lausanne,10
Le Marché Bio,日内瓦,https://you.ctrip.com/shopping/onex1583530/77489060.html,https://dimg04.c-ctrip.com/images/100q0e0000006ysbhD1DC_C_220_140.jpg,5.0,"Chemin de l'Auberge 4, 1213 Onex",11
BIO Boulevard - Épicerie die...,日内瓦,https://you.ctrip.com/shopping/geneva302/77485664.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/1E/CghzfVW7TBaAN__3AAA-SNUIFfg035_C_220_140.jpg,,"Boulevard Carl-Vogt 28, 1205 Genève GE",12
Bongénie（日内瓦店）,日内瓦,https://you.ctrip.com/shopping/geneva302/4174751.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.0,"Rue du Marché 34, 1204 Geneva",13
Lacoste,日内瓦,https://you.ctrip.com/shopping/geneva302/77480429.html,https://dimg04.c-ctrip.com/images/100b0f0000007gymh0A7B_C_220_140.jpg,4.0,"Rue De La Croix D'Or 10, 1204 Genève",14
Lacoste,日内瓦,https://you.ctrip.com/shopping/geneva302/77477297.html,https://dimg04.c-ctrip.com/images/100b0f0000007gymh0A7B_C_220_140.jpg,4.0,"Corner Lacoste Manor Genève Rue Cornavin 6, 1201 Genève",15
江诗丹顿（日内瓦旗舰店）,日内瓦,https://you.ctrip.com/shopping/geneva302/782845.html,https://dimg04.c-ctrip.com/images/010321200086qfwbj8675_C_220_140.jpg,4.0,"""Place de Longemalle 1, 1204 Genève, Suisse""",16
Meyrin Centre,日内瓦,https://you.ctrip.com/shopping/meyrin1583812/78583204.html,https://dimg04.c-ctrip.com/images/1A081e000001f4fojCA99_C_220_140.jpg,5.0,"avenue de Feuillasse 24, Meyrin, Geneva 1217, Switzerland",17
倩碧(Amavita),日内瓦,https://you.ctrip.com/shopping/geneva302/2514365.html,https://dimg04.c-ctrip.com/images/100u17000001393526BBF_C_220_140.jpg,,Boulevard Carl-Vogt 18,18
Konig,日内瓦,https://you.ctrip.com/shopping/geneva302/78732907.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/FD/CghzfFW7TBSADCwmAAA_QkCyQxc009_C_220_140.jpg,,"Place des Alpes 2, Geneva 1201, Switzerland",19
Horlogerie And Souvenirs - Bad...,日内瓦,https://you.ctrip.com/shopping/geneva302/78734493.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/FD/CghzfFW7TBSADCwmAAA_QkCyQxc009_C_220_140.jpg,,"rue de Lausanne 39, Geneva 1201, Switzerland",20
DENNER,日内瓦,https://you.ctrip.com/shopping/geneva302/1683716.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,4.0,Boulevard Carl-Vogt 12(Junction),21
Louis Vuitton,日内瓦,https://you.ctrip.com/shopping/geneva302/1687856.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,4.0,33 Rue du Rhône,22
Migros,日内瓦,https://you.ctrip.com/shopping/geneva302/1689524.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,4.0,Place de la Fusterie 7,23
HITCIGARS INTERNATIONAL,日内瓦,https://you.ctrip.com/shopping/geneva302/78702710.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/FD/CghzfFW7TBSADCwmAAA_QkCyQxc009_C_220_140.jpg,,"14 Rue Jean - Violette, Geneva 1205, Switzerland",24
