names,places,links,imgs,popularity,scores,addresses
庐山风景名胜区,庐山,https://you.ctrip.com/sight/lushan2390/140585.html,https://dimg04.c-ctrip.com/images/10021f000001gxelv1DD4_C_220_140.jpg,8.5,4.5,九江市庐山市牯岭镇河西路19号
三叠泉,庐山,https://you.ctrip.com/sight/lushan2390/2286.html,https://dimg04.c-ctrip.com/images/01043120008alixhl13CD_C_220_140.jpg,7.0,4.5,九江市庐山市海会镇庐山风景区内
庐山索道,庐山,https://you.ctrip.com/sight/lushan2390/4330352.html,https://dimg04.c-ctrip.com/images/0101q12000awt4tj42C90_C_220_140.jpg,6.7,4.6,江西省九江市庐山市庐山东林头山庄西南侧约220米
秀峰,庐山,https://you.ctrip.com/sight/lushan2390/17300.html,https://dimg04.c-ctrip.com/images/100q1f000001grkr4C4FF_C_220_140.jpg,6.1,4.6,九江市庐山市星子县白鹿镇秀峰风景名胜区
白鹿洞书院,庐山,https://you.ctrip.com/sight/lushan2390/2290.html,https://dimg04.c-ctrip.com/images/0103g120008ii0qo6B6A7_C_220_140.jpg,6.5,4.6,九江市庐山区海会镇环山公路27号
庐山瀑布,庐山,https://you.ctrip.com/sight/lushan2390/68074.html,https://dimg04.c-ctrip.com/images/0103s120006dcyl9o7DE1_C_220_140.jpg,6.1,4.6,九江市庐山市庐山风景区内
东林大佛,庐山,https://you.ctrip.com/sight/lushan2390/1513752.html,https://dimg04.c-ctrip.com/images/0106c12000bbdjehl7ECF_C_220_140.jpg,5.7,4.5,九江市庐山市温泉镇105国道附近
浔阳楼,庐山,https://you.ctrip.com/sight/jiujiang877/67854.html,https://dimg04.c-ctrip.com/images/100v11000000rct0q4F1B_C_220_140.jpg,6.1,4.1,九江市浔阳区滨江东路908号
五老峰,庐山,https://you.ctrip.com/sight/lushan2390/2291.html,https://dimg04.c-ctrip.com/images/01029120008jks5ap208C_C_220_140.jpg,5.9,4.6,九江市庐山市永济市东南20公里的中条山上五老峰景区内
三叠泉缆车,庐山,https://you.ctrip.com/sight/lushan2390/1702850.html,https://dimg04.c-ctrip.com/images/01015120009isl6al3EE4_C_220_140.jpg,5.7,4.1,九江市濂溪区庐山风景区庐山三叠泉景区内
庐山天沐温泉,庐山,https://you.ctrip.com/sight/lushan2390/67994.html,https://dimg04.c-ctrip.com/images/350v0v000000k9gvb47E6_C_220_140.jpg,5.8,4.6,九江市庐山市温泉镇柴桑路与环庐山路交叉口南250米路西（近天沐路）
牯岭街,庐山,https://you.ctrip.com/sight/lushan2390/44881.html,https://dimg04.c-ctrip.com/images/0105r12000at15iiw17CA_C_220_140.jpg,5.7,4.5,九江市庐山区庐山风景区内
庐山恋影院,庐山,https://you.ctrip.com/sight/lushan2390/137789.html,https://dimg04.c-ctrip.com/images/10091f000001gspyu700F_C_220_140.jpg,5.6,4.6,九江市庐山市濂溪区庐山风景区河西路19号
美庐,庐山,https://you.ctrip.com/sight/lushan2390/2284.html,https://dimg04.c-ctrip.com/images/1006hk1439pqttzog2AA1_C_220_140.jpg,5.7,4.4,九江市濂溪区庐山风景名胜区香山支二路7号
含鄱口,庐山,https://you.ctrip.com/sight/lushan2390/2276.html,https://dimg04.c-ctrip.com/images/0102z120005zwpn016BDB_C_220_140.jpg,5.5,4.5,庐山市东谷含鄱岭中央
东林寺,庐山,https://you.ctrip.com/sight/jiujiang877/44872.html,https://dimg04.c-ctrip.com/images/100n1f000001gpcdb40EE_C_220_140.jpg,5.5,4.8,九江市庐山区庐山风景区内
锦绣谷,庐山,https://you.ctrip.com/sight/lushan2390/2281.html,https://dimg04.c-ctrip.com/images/01004120008jks42l9526_C_220_140.jpg,5.3,4.7,庐山市濂溪区环山路27号庐山风景区(如琴湖旁)
如琴湖,庐山,https://you.ctrip.com/sight/lushan2390/109875.html,https://dimg04.c-ctrip.com/images/10021f000001gxelv1DD4_C_220_140.jpg,5.2,4.6,九江市庐山市庐山风景区内
庐山汤太宗温泉度假村,庐山,https://you.ctrip.com/sight/lushan2390/64970709.html,https://dimg04.c-ctrip.com/images/01037120000u88n2b9760_C_220_140.jpg,5.1,4.3,九江市-庐山市-温泉镇环南山公路路北
石钟山,庐山,https://you.ctrip.com/sight/hukou2386/67990.html,https://dimg04.c-ctrip.com/images/0101512000b8t5ufg9740_C_220_140.jpg,5.7,4.4,九江市湖口县双中镇
鄱阳湖,庐山,https://you.ctrip.com/sight/duchang2407/130886850.html,https://dimg04.c-ctrip.com/images/010281200060e8djq7F0C_C_220_140.jpg,5.1,5,江西省九江市都昌县
仙人洞,庐山,https://you.ctrip.com/sight/lushan2390/2288.html,https://dimg04.c-ctrip.com/images/0104z12000atim52kA95C_C_220_140.jpg,5.0,4.5,九江市庐山市庐山天池山西麓
庐山会议旧址,庐山,https://you.ctrip.com/sight/lushan2390/2280.html,https://dimg04.c-ctrip.com/images/100t1b000001aakt5F401_C_220_140.jpg,4.9,,九江市庐山市牯岭河西路东谷长冲河畔
芦林湖,庐山,https://you.ctrip.com/sight/lushan2390/2283.html,https://dimg04.c-ctrip.com/images/10011f000001h38dw664E_C_220_140.jpg,4.9,4.6,九江市庐山东谷芦林盆地
浔阳江景区,庐山,https://you.ctrip.com/sight/jiujiang877/135121918.html,https://dimg04.c-ctrip.com/images/0106f120009xiz8i01346_C_220_140.jpg,5.0,4.7,江西省九江市浔阳区白水湖路与滨江东路交叉路口北侧
花径,庐山,https://you.ctrip.com/sight/lushan2390/2277.html,https://dimg04.c-ctrip.com/images/0106z1200089d8hpxEEB3_C_220_140.jpg,4.9,4.4,九江市庐山市白云观路附近
琵琶亭,庐山,https://you.ctrip.com/sight/jiujiang877/5068336.html,https://dimg04.c-ctrip.com/images/01058120009hefw1d7C3E_C_220_140.jpg,5.0,4,江西省九江市长江大桥东侧
观音桥,庐山,https://you.ctrip.com/sight/lushan2390/140577.html,https://dimg04.c-ctrip.com/images/35060v000000jm8x49110_C_220_140.jpg,4.8,4.5,九江市庐山市星子县白鹿镇观音桥风景区
庐山天桥,庐山,https://you.ctrip.com/sight/lushan2390/1508947.html,https://dimg04.c-ctrip.com/images/0101g1200087cwz3w6786_C_220_140.jpg,4.7,4.4,九江市庐山市庐山风景区内
落星墩,庐山,https://you.ctrip.com/sight/lushan2390/67891.html,https://dimg04.c-ctrip.com/images/0102j120009d9u4yfEF1A_C_220_140.jpg,4.7,4.3,九江市庐山市城南三里的鄱阳湖上水边
玉川门,庐山,https://you.ctrip.com/sight/lushan2390/5639807.html,https://dimg04.c-ctrip.com/images/0107012000arh9lmq8805_C_220_140.jpg,4.7,4.7,三叠泉景区
