names,popularity,scores,links,imgs
花台景区,5.5,4.5,https://you.ctrip.com/sight/qingyang2613/75285.html,https://dimg05.c-ctrip.com/images/0105k1200087dcrtwA8EE_C_220_140.jpg
茂林风景区,3.0,5,https://you.ctrip.com/sight/jingcounty2616/104502460.html,https://dimg04.c-ctrip.com/images/0102v120008wy3zvcC4E4_C_220_140.jpg
皖南事变烈士陵园,2.9,,https://you.ctrip.com/sight/jingcounty2616/55295.html,https://dimg08.c-ctrip.com/images/0100a120008e0i72q3DDF_C_220_140.jpg
青龙潭激情漂流景区,2.9,4,https://you.ctrip.com/sight/jingcounty2616/5711087.html,https://dimg06.c-ctrip.com/images/0104n120008103xuuDB63_C_220_140.jpg
太平湖峡谷漂流,4.4,5,https://you.ctrip.com/sight/huangshan120061/65194413.html,https://dimg04.c-ctrip.com/images/0303l1200082lkldz1ED6_C_220_140.jpg
万村老街,2.9,3.8,https://you.ctrip.com/sight/jingcounty2616/5072373.html,https://dimg04.c-ctrip.com/images/0103e12000b6z4d80E1A4_C_220_140.jpg
宝峰岩景区,2.8,3.5,https://you.ctrip.com/sight/jingcounty2616/4717351.html,https://dimg04.c-ctrip.com/images/100i0t000000ilt4071E6_C_220_140.jpg
莲峰云海景区,4.9,4.3,https://you.ctrip.com/sight/qingyang2613/1462584.html,https://dimg04.c-ctrip.com/images/100e0r000000hffz08B32_C_220_140.jpg
芜湖方特东方神画,6.4,4.6,https://you.ctrip.com/sight/wuhu457/1732727.html,https://dimg04.c-ctrip.com/images/fd/tg/g4/M07/5A/C9/CggYHFXEZaWABKdGAAEcwXI7YGA578_C_220_140.jpg
呈坎,7.3,4.4,https://you.ctrip.com/sight/huangshan120061/20485.html,https://dimg04.c-ctrip.com/images/0103b120009vmiao3E112_C_220_140.jpg
龙映山景区,2.8,4.5,https://you.ctrip.com/sight/jingcounty2616/5542354.html,https://dimg04.c-ctrip.com/images/0103h120009kp44axD9FF_C_220_140.jpg
储家滩,4.2,4.3,https://you.ctrip.com/sight/ningguo1167/5073131.html,https://dimg04.c-ctrip.com/images/1A0f15000000x8hrlE7FF_C_220_140.jpg
九子岩景区,4.8,4.4,https://you.ctrip.com/sight/qingyang2613/126398.html,https://dimg04.c-ctrip.com/images/0102o120009hee4aaC9A1_C_220_140.jpg
皖南查济艺术博物馆,2.7,5,https://you.ctrip.com/sight/jingcounty2616/5704800.html,https://dimg04.c-ctrip.com/images/010731200086xyhhz27EC_C_220_140.jpg
西递,8.0,4.5,https://you.ctrip.com/sight/yicounty528/18052.html,https://dimg04.c-ctrip.com/images/01A5m120008meiorr0BBD_C_220_140.jpg
黄山汤口镇,6.1,4.7,https://you.ctrip.com/sight/huangshan120061/5253395.html,https://dimg04.c-ctrip.com/images/0105612000b957pjf4585_C_220_140.jpg
梧桐花谷,3.7,3.9,https://you.ctrip.com/sight/tongling472/2492208.html,https://dimg03.c-ctrip.com/images/100j0q000000gbkot73AD_C_220_140.jpg
马头祥景区,2.6,4.5,https://you.ctrip.com/sight/jingcounty2616/2116644.html,https://dimg04.c-ctrip.com/images/10020f0000007k2fo3D47_C_220_140.jpg
章渡镇,2.6,5,https://you.ctrip.com/sight/jingcounty2616/69219557.html,https://dimg04.c-ctrip.com/images/01A5x120008vwy5pi6B14_C_220_140.jpg
洪公祠,2.6,5,https://you.ctrip.com/sight/jingcounty2616/4591116.html,https://dimg04.c-ctrip.com/images/100w11000000qj0o350F6_C_220_140.jpg
宣城市博物馆,3.8,4.4,https://you.ctrip.com/sight/xuancheng504/1834804.html,https://dimg04.c-ctrip.com/images/0100g120008e28uk46522_C_220_140.jpg
桃花潭绿林谷漂流,2.6,,https://you.ctrip.com/sight/jingcounty2616/5716248.html,https://dimg04.c-ctrip.com/images/01049120008wy8vkfF392_C_220_140.jpg
翡翠池,5.1,4.4,https://you.ctrip.com/sight/huangshan120061/5599.html,https://dimg04.c-ctrip.com/images/100t0g00000086uu76FE9_C_220_140.jpg
迎客松,5.5,4.7,https://you.ctrip.com/sight/huangshan120061/4408.html,https://dimg04.c-ctrip.com/images/100j0g0000007trn02846_C_220_140.jpg
九龙瀑,5.7,4.5,https://you.ctrip.com/sight/huangshan120061/4416.html,https://dimg04.c-ctrip.com/images/0100w120009dzwm9eD318_C_220_140.jpg
皖南事变激战地,2.5,,https://you.ctrip.com/sight/jingcounty2616/1714175.html,https://dimg06.c-ctrip.com/images/0106g1200092s6cvoAF82_C_220_140.jpg
朱旺村,3.5,4.2,https://you.ctrip.com/sight/jingde2620/1753653.html,https://dimg04.c-ctrip.com/images/0102e12000awt2biwD443_C_220_140.jpg
清源山风景区,3.5,4.2,https://you.ctrip.com/sight/qingyang2613/1411168.html,https://dimg04.c-ctrip.com/images/100u180000014k97i015E_C_220_140.jpg
百岁宫,5.1,4.6,https://you.ctrip.com/sight/qingyang2613/6885.html,https://dimg05.c-ctrip.com/images/1007hk114xf4s40r43FE2_C_220_140.jpg
徽州古城,7.4,4,https://you.ctrip.com/sight/shecounty527/126201.html,https://dimg04.c-ctrip.com/images/1A0l1g000001h335i67F9_C_220_140.jpg
中国扬子鳄景区,3.7,4.4,https://you.ctrip.com/sight/xuancheng504/17525.html,https://dimg04.c-ctrip.com/images/0105y120009hzqd8u3372_C_220_140.jpg
红旅小镇,2.5,,https://you.ctrip.com/sight/jingcounty2616/118963794.html,https://dimg04.c-ctrip.com/images/01054120008x0gdpeF87F_C_220_140.jpg
古徽州文化旅游区,7.4,4.1,https://you.ctrip.com/sight/shecounty527/1751362.html,https://dimg04.c-ctrip.com/images/0102l1200089rytxs3414_C_220_140.jpg
芜湖古城,5.7,4.7,https://you.ctrip.com/sight/wuhu457/112366328.html,https://dimg04.c-ctrip.com/images/0102e12000bbdzkt2CDCA_C_220_140.jpg
松鼠小镇,5.3,4.5,https://you.ctrip.com/sight/wuhu457/112366313.html,https://dimg04.c-ctrip.com/images/0104d120008t75ipg800A_C_220_140.jpg
踏歌岸阁,2.5,4.4,https://you.ctrip.com/sight/jingcounty2616/55307.html,https://dimg04.c-ctrip.com/images/0100k12000b13amrw1344_C_220_140.jpg
黄山温泉,5.6,4.4,https://you.ctrip.com/sight/huangshan120061/4367.html,https://dimg04.c-ctrip.com/images/350l18000001532ro4119_C_220_140.jpg
桃花潭鸿峨迷谷花海,2.4,,https://you.ctrip.com/sight/jingcounty2616/100188468.html,https://dimg04.c-ctrip.com/images/0105v120008wy4cxr86C9_C_220_140.jpg
桃花潭云霄飞景,2.4,4,https://you.ctrip.com/sight/jingcounty2616/2503188.html,https://dimg04.c-ctrip.com/images/10080k000000c9v8h39A1_C_220_140.jpg
肉身宝殿,5.1,4.7,https://you.ctrip.com/sight/qingyang2613/6905.html,https://dimg04.c-ctrip.com/images/fd/tg/g6/M04/C9/0D/CggYtFb57xyAUdo3ACiH0ZrXMgk291_C_220_140.jpg
红杉林景区,3.4,4.1,https://you.ctrip.com/sight/ningguo1167/5687371.html,https://dimg04.c-ctrip.com/images/1A041a0000019i4zs8D45_C_220_140.jpg
青龙湾生态旅游区,3.8,4.4,https://you.ctrip.com/sight/ningguo1167/140503.html,https://dimg06.c-ctrip.com/images/01059120008im7zfqA718_C_220_140.jpg
月亮湾皮划艇漂流,2.3,5,https://you.ctrip.com/sight/jingcounty2616/136632777.html,https://dimg04.c-ctrip.com/images/1lo5i12000b309q58171A_C_220_140.jpg
九华街,4.9,4.6,https://you.ctrip.com/sight/qingyang2613/136645.html,https://dimg07.c-ctrip.com/images/100ehk1439p88q76o175F_C_220_140.jpg
天台寺（天台峰）,4.9,4.6,https://you.ctrip.com/sight/qingyang2613/6918.html,https://dimg04.c-ctrip.com/images/100rhk114xf4kcqqoD5C3_C_220_140.jpg
泾县古城墙,2.3,5,https://you.ctrip.com/sight/jingcounty2616/64668357.html,https://dimg04.c-ctrip.com/images/0103812000b3xao7k71B3_C_220_140.jpg
路西风景区,3.1,4.5,https://you.ctrip.com/sight/jingde2620/4689346.html,https://dimg04.c-ctrip.com/images/100e0t000000icebk9089_C_220_140.jpg
大浦乡村世界,3.7,4.2,https://you.ctrip.com/sight/nanling1445976/70363.html,https://dimg04.c-ctrip.com/images/1lo0612000az3q7c97C7E_C_220_140.jpg
天井湖公园,5.1,4.7,https://you.ctrip.com/sight/tongling472/141209.html,https://dimg04.c-ctrip.com/images/0101z120008anr8f3E04C_C_220_140.jpg
木坑竹海,6.7,4.2,https://you.ctrip.com/sight/yicounty528/18452.html,https://dimg04.c-ctrip.com/images/100d1f000001gou7g21EF_C_220_140.jpg
文昌阁,2.3,4.2,https://you.ctrip.com/sight/jingcounty2616/55368.html,https://dimg04.c-ctrip.com/images/0102x120008qjcg6n3243_C_220_140.jpg
芜湖鸠兹古镇度假区,5.9,3.3,https://you.ctrip.com/sight/wuhu457/104495035.html,https://dimg04.c-ctrip.com/images/0106w1200090xt5fu9B0F_C_220_140.jpg
塔川,6.6,4.1,https://you.ctrip.com/sight/yicounty528/18451.html,https://dimg04.c-ctrip.com/images/100o1b000001a4r5q0C20_C_220_140.jpg
鸠兹古镇,5.9,4.3,https://you.ctrip.com/sight/wuhu457/1957563.html,https://dimg04.c-ctrip.com/images/100b1f000001gsmufA8D9_C_220_140.jpg
莲花峰,5.2,4.8,https://you.ctrip.com/sight/huangshan120061/5089.html,https://dimg04.c-ctrip.com/images/10081f000001gqiwaE9EE_C_220_140.jpg
皖南事变陈列馆,2.2,,https://you.ctrip.com/sight/jingcounty2616/69216738.html,https://dimg04.c-ctrip.com/images/0100g120009638tqtED84_C_220_140.jpg
龙川风景区,5.6,4.3,https://you.ctrip.com/sight/jixi2627/142571.html,https://dimg04.c-ctrip.com/images/0106a1200087ds0nx79E9_C_220_140.jpg
宣城敬林水城,3.4,5,https://you.ctrip.com/sight/xuancheng504/5664372.html,https://dimg01.c-ctrip.com/images/0103m120008whgnh77477_C_220_140.jpg
飞来石,5.1,4.7,https://you.ctrip.com/sight/huangshan120061/4406.html,https://dimg04.c-ctrip.com/images/100e1f000001gsyvaCFF0_C_220_140.jpg
