id,names,address,links,ranks,scores,imgs,img_local,places,slug
1072e607-5400-4d36-b6ec-11fcb8db7424,第一八佰伴,上海市浦东新区张杨路501号(近浦东南路),https://you.ctrip.com/shopping/shanghai2/1357611.html,18,4.5,https://dimg04.c-ctrip.com/images/0107012000927b6o41E1C_C_220_140.jpg,0107012000927b6o41E1C_C_220_140.jpg,上海,di-yi-ba-bai-ban
3125ac02-6a0b-4ac8-9692-597172f92e5b,静安嘉里中心,南京西路1515号(近静安寺地铁站6，8号口),https://you.ctrip.com/shopping/shanghai2/1362567.html,19,4.6,https://dimg04.c-ctrip.com/images/100q0g0000007t4187A69_C_220_140.jpg,100q0g0000007t4187A69_C_220_140.jpg,上海,jing-an-jia-li-zhong-xin
827bb9ba-79a1-4b26-b027-00a50d00ade3,上海迪士尼旗舰店（陆家嘴店）,上海市浦东新区丰和路180号,https://you.ctrip.com/shopping/shanghai2/1439991.html,20,4.5,https://dimg04.c-ctrip.com/images/01A0g1200065ld419F65E_C_220_140.jpg,01A0g1200065ld419F65E_C_220_140.jpg,上海,shang-hai-di-shi-ni-qi-jian-dian-lu-jia-zui-dian
6774a369-8db2-453e-80df-537013edabb6,美罗城,肇嘉浜路1111号（近漕溪北路）,https://you.ctrip.com/shopping/shanghai2/1357607.html,21,4.6,https://dimg04.c-ctrip.com/images/1A0i1e000001fpp898BA1_C_220_140.jpg,1A0i1e000001fpp898BA1_C_220_140.jpg,上海,mei-luo-cheng
41e25f4d-0ae5-4c6d-9f50-596c363a99d2,凯德虹口商业中心(虹口店),西江湾路388号（近四川北路）,https://you.ctrip.com/shopping/shanghai2/1370889.html,22,4.4,https://dimg04.c-ctrip.com/images/10090h00000093lxqEE13_C_220_140.jpg,10090h00000093lxqEE13_C_220_140.jpg,上海,kai-de-hong-kou-shang-ye-zhong-xin-hong-kou-dian
a798b9aa-6864-44bc-b243-6ceaa661fdf8,浦东嘉里城,花木路1378号L234a(花木路与芳甸路交叉口),https://you.ctrip.com/shopping/shanghai2/109331.html,23,4.7,https://dimg04.c-ctrip.com/images/1A0b1c000001c6vk1CD06_C_220_140.jpg,1A0b1c000001c6vk1CD06_C_220_140.jpg,上海,pu-dong-jia-li-cheng
50d9e48c-5672-4967-93b6-24e4a2499f69,世博源,上海市浦东新区上南路168号、世博大道1368号,https://you.ctrip.com/shopping/shanghai2/1370860.html,24,4.6,https://dimg04.c-ctrip.com/images/0101p12000926deke6D0A_C_220_140.jpg,0101p12000926deke6D0A_C_220_140.jpg,上海,shi-bo-yuan
b70ee0d0-07c9-425c-a65f-95ee98953e6f,新世界大丸百货,外滩街道南京东路228号,https://you.ctrip.com/shopping/shanghai2/1455233.html,25,4.6,https://dimg04.c-ctrip.com/images/100u0f0000007lyqv1252_C_220_140.jpg,100u0f0000007lyqv1252_C_220_140.jpg,上海,xin-shi-jie-da-wan-bai-huo
237a0666-2d02-496e-a962-c7c6af137dc8,虹桥南丰城,遵义路100号,https://you.ctrip.com/shopping/shanghai2/1363203.html,26,4.4,https://dimg04.c-ctrip.com/images/1A0g12000000rj46cB027_C_220_140.jpg,1A0g12000000rj46cB027_C_220_140.jpg,上海,hong-qiao-nan-feng-cheng
1254d2b4-11e4-4c92-b964-18a2eb0d2c2a,凯德龙之梦购物中心(长宁店),上海长宁区长宁路1018号(近凯旋路),https://you.ctrip.com/shopping/shanghai2/1370849.html,27,4.3,https://dimg04.c-ctrip.com/images/100e0g0000007t5rbAE52_C_220_140.jpg,100e0g0000007t5rbAE52_C_220_140.jpg,上海,kai-de-long-zhi-meng-gou-wu-zhong-xin-chang-zhu-dian
19f9ed82-bde2-4af2-97c6-5fec7b5da79d,大宁国际商业广场,共和新路1878-2008号(近大宁路),https://you.ctrip.com/shopping/shanghai2/1371078.html,28,4.5,https://dimg04.c-ctrip.com/images/10090h00000093lu83990_C_220_140.jpg,10090h00000093lu83990_C_220_140.jpg,上海,da-zhu-guo-ji-shang-ye-yan-chang
5f9bf094-96e2-448b-8a5e-93cee409913c,新世界城,南京西路2-68号(近西藏中路人民广场),https://you.ctrip.com/shopping/shanghai2/1357600.html,29,4.4,https://dimg04.c-ctrip.com/images/100d0h0000008ooiw684B_C_220_140.jpg,100d0h0000008ooiw684B_C_220_140.jpg,上海,xin-shi-jie-cheng
9860efd1-5600-43fb-9461-f5d202a937a7,芮欧百货,南京西路1601号,https://you.ctrip.com/shopping/shanghai2/1370891.html,30,4.5,https://dimg04.c-ctrip.com/images/100m0g0000007t5oo54CD_C_220_140.jpg,100m0g0000007t5oo54CD_C_220_140.jpg,上海,rui-ou-bai-huo
0300b718-4ffb-4843-acea-5644c86cdd8e,七宝万科广场,漕宝路3366号(漕宝路与七莘路交叉口),https://you.ctrip.com/shopping/shanghai2/1455234.html,31,4.6,https://dimg04.c-ctrip.com/images/100u0j000000af02hEEFC_C_220_140.jpg,100u0j000000af02hEEFC_C_220_140.jpg,上海,qi-bao-mo-ke-yan-chang
989995a6-bf1c-409a-8052-e72513f8087c,晶品CrystalGalleria,愚园路68号(近南京西路，常德路),https://you.ctrip.com/shopping/shanghai2/1362371.html,32,4.3,https://dimg04.c-ctrip.com/images/100a0g0000007t59fC204_C_220_140.jpg,100a0g0000007t59fC204_C_220_140.jpg,上海,jing-pin-crystalgalleria
451f0147-c2fa-4be4-85f0-27e8aa4e5a42,上海梅龙镇伊势丹百货,上海市静安区南京西路1038号梅龙镇广场内,https://you.ctrip.com/shopping/shanghai2/109318.html,33,4.6,https://dimg04.c-ctrip.com/images/100q0g0000007t42wB6FE_C_220_140.jpg,100q0g0000007t42wB6FE_C_220_140.jpg,上海,shang-hai-mei-long-zhen-yi-shi-dan-bai-huo
7fb16237-2e59-4c0e-9bd8-c1fcc9fd3d63,上海高岛屋百货,虹桥路1438号(近玛瑙路),https://you.ctrip.com/shopping/shanghai2/1370828.html,34,4.4,https://dimg04.c-ctrip.com/images/fd/tg/g1/M04/99/60/CghzflS1QJSAMYmaAAB_LKGgopk140_C_220_140.jpg,CghzflS1QJSAMYmaAAB_LKGgopk140_C_220_140.jpg,上海,shang-hai-gao-dao-wu-bai-huo
19e7df0f-9f0b-47d2-b7e9-123ec271c5b7,日上免税行（上海浦东国际机场T1...,浦东机场迎宾大道6000号上海浦东国际机场T1航站楼,https://you.ctrip.com/shopping/shanghai2/18075.html,35,4.6,https://dimg04.c-ctrip.com/images/100a0p000000fyb0e1988_C_220_140.jpg,100a0p000000fyb0e1988_C_220_140.jpg,上海,ri-shang-mian-shui-xing-shang-hai-pu-dong-guo-ji-ji-chang-t1
60de7cc2-6f3a-48ec-aeb5-1ac7c659daeb,建投书局,上海市虹口区公平路18号8栋嘉昱大厦一层,https://you.ctrip.com/shopping/shanghai2/1452696.html,36,4.7,https://dimg04.c-ctrip.com/images/100o0j000000af0n02943_C_220_140.jpg,100o0j000000af0n02943_C_220_140.jpg,上海,jian-tou-shu-ju
b1ba2278-9342-4819-a5a3-05ffb64e96a4,徐家汇,上海市徐汇区东起宛平路、西至宜山路、北起广元路、南至零陵路,https://you.ctrip.com/shopping/shanghai2/1360525.html,37,4.6,https://dimg04.c-ctrip.com/images/1A0116000000z8d3hAB40_C_220_140.jpg,1A0116000000z8d3hAB40_C_220_140.jpg,上海,xu-jia-hui
53fb2643-99a6-4415-ac67-37c1157d89bf,上海第一食品商店(南京东路旗舰...,南京东路720号(近贵州路),https://you.ctrip.com/shopping/shanghai2/1357452.html,38,4.5,https://dimg04.c-ctrip.com/images/100m0h0000008opxz4D08_C_220_140.jpg,100m0h0000008opxz4D08_C_220_140.jpg,上海,shang-hai-di-yi-shi-pin-shang-dian-nan-jing-dong-lu-qi-jian
b7ef2a3d-760e-44a7-bfa0-b20fde520b37,宜家（上海徐汇店）,上海市徐汇区漕溪路126号,https://you.ctrip.com/shopping/shanghai2/1361686.html,39,4.5,https://dimg04.c-ctrip.com/images/01A0g1200095hwfmx7158_C_220_140.jpg,01A0g1200095hwfmx7158_C_220_140.jpg,上海,yi-jia-shang-hai-xu-hui-dian
0f8309b1-c591-4268-a4a3-2c4b6995031e,乐高玩具旗舰店,上海市浦东新区迪士尼小镇内,https://you.ctrip.com/shopping/shanghai2/1450681.html,40,4.7,https://dimg04.c-ctrip.com/images/100o050000000o2vhB2B5_C_220_140.jpg,100o050000000o2vhB2B5_C_220_140.jpg,上海,le-gao-wan-ju-qi-jian-dian
7d61373c-3768-47e2-bacd-3165ef954845,青浦奥特莱斯,上海市青浦区沪青平公路2888号（嘉松中路5555号）,https://you.ctrip.com/shopping/shanghai2/1370829.html,41,4.5,https://dimg05.c-ctrip.com/images/fd/tg/g1/M00/99/31/CghzfVS1QJWACNaGAAChOMbEJPE173_C_220_140.jpg,CghzfVS1QJWACNaGAAChOMbEJPE173_C_220_140.jpg,上海,qing-pu-ao-te-lai-si
b9699130-a92e-4a05-bf21-b8e2cebd2ea0,上海书城,上海市黄浦区福州路465号,https://you.ctrip.com/shopping/shanghai2/1361981.html,42,4.5,https://dimg04.c-ctrip.com/images/10030h0000008osm05B3C_C_220_140.jpg,10030h0000008osm05B3C_C_220_140.jpg,上海,shang-hai-shu-cheng
9462a239-08c4-4b6c-a855-17138c5deaf2,无印良品（上海淮海755旗舰店）,上海市黄浦区淮海中路755号,https://you.ctrip.com/shopping/shanghai2/1447606.html,43,4.5,https://dimg04.c-ctrip.com/images/100t0g0000007t652F806_C_220_140.jpg,100t0g0000007t652F806_C_220_140.jpg,上海,wu-yin-liang-pin-shang-hai-huai-hai-755qi-jian-dian
76d9901b-b7c6-4ade-9565-95cb8f2c10fe,优衣库(上海旗舰店),上海黄浦区淮海中路887号,https://you.ctrip.com/shopping/shanghai2/1370835.html,44,4.6,https://dimg04.c-ctrip.com/images/10010g0000007t6lt9F65_C_220_140.jpg,10010g0000007t6lt9F65_C_220_140.jpg,上海,you-yi-ku-shang-hai-qi-jian-dian
f0c2b51f-fc5f-487c-a7f7-c80e6956975a,沈大成(南京东路店),南京东路636号,https://you.ctrip.com/shopping/shanghai2/1379636.html,45,4.4,https://dimg04.c-ctrip.com/images/100c0h0000008p9vpA121_C_220_140.jpg,100c0h0000008p9vpA121_C_220_140.jpg,上海,chen-da-cheng-nan-jing-dong-lu-dian
b0979006-f6a0-48f8-9da9-c58dbfc4631e,东安市场,王府井大街138号,https://you.ctrip.com/shopping/beijing1/1357371.html,1,4.6,https://dimg04.c-ctrip.com/images/100o0h0000008uizc2BC8_C_220_140.jpg,100o0h0000008uizc2BC8_C_220_140.jpg,北京,dong-an-shi-chang
6185666a-b233-4d1b-b265-6534765432e5,西单商场,西单北大街120号(巴黎老佛爷百货南侧),https://you.ctrip.com/shopping/beijing1/1357399.html,2,4.6,https://dimg04.c-ctrip.com/images/100i0h0000008uh4b8A95_C_220_140.jpg,100i0h0000008uh4b8A95_C_220_140.jpg,北京,xi-dan-shang-chang
64214e77-beda-40b6-9881-c32789befe29,荟聚西红门购物中心,北京市大兴区欣宁街15号,https://you.ctrip.com/shopping/beijing1/1370137.html,3,4.8,https://dimg06.c-ctrip.com/images/fd/tg/g2/M0A/9E/85/CghzgVS1POOAVUIZAAFHEfKkZD0037_C_220_140.jpg,CghzgVS1POOAVUIZAAFHEfKkZD0037_C_220_140.jpg,北京,hui-ju-xi-hong-men-gou-wu-zhong-xin
400f1bc3-0f3b-4399-865f-60ed90047574,朝阳大悦城,朝阳北路101号(青年路与朝阳北路交叉口),https://you.ctrip.com/shopping/beijing1/1363006.html,4,4.8,https://dimg04.c-ctrip.com/images/100n0h0000008uhth322B_C_220_140.jpg,100n0h0000008uhth322B_C_220_140.jpg,北京,zhao-yang-da-yue-cheng
812f6a3f-1ff4-4ae5-9bac-ae85b49eb163,西单大悦城,西单北大街甲131号(近地铁1号线、4号线西单站),https://you.ctrip.com/shopping/beijing1/108463.html,5,4.7,https://dimg04.c-ctrip.com/images/1A0713000000vkehrF1BC_C_220_140.jpg,1A0713000000vkehrF1BC_C_220_140.jpg,北京,xi-dan-da-yue-cheng
4a699c64-07bc-4afe-87cc-5cdc640d04c4,SOLANA蓝色港湾,朝阳公园路6号二十一世纪对面,https://you.ctrip.com/shopping/beijing1/1362931.html,6,4.7,https://dimg04.c-ctrip.com/images/fd/tg/g2/M0B/87/C3/CghzgVWwtEmARsoPABLgq75TkzE957_C_220_140.jpg,CghzgVWwtEmARsoPABLgq75TkzE957_C_220_140.jpg,北京,solanalan-se-gang-wan
4af905ad-c9a0-459e-9317-1ece783ef49a,世纪金源购物中心,远大路1号(远大路与蓝靛厂中路交叉口),https://you.ctrip.com/shopping/beijing1/1363227.html,7,4.6,https://dimg04.c-ctrip.com/images/fd/tg/g1/M09/7A/99/CghzfFTSzEGAKFstAACrX9RGMXQ523_C_220_140.jpg,CghzfFTSzEGAKFstAACrX9RGMXQ523_C_220_140.jpg,北京,shi-ji-jin-yuan-gou-wu-zhong-xin
c242dd49-e341-4642-8166-259fd78108e7,三里屯太古里,朝阳区三里屯路19号(工体北路口),https://you.ctrip.com/shopping/beijing1/1369874.html,8,4.7,https://dimg04.c-ctrip.com/images/fd/tg/g4/M06/3A/E6/CggYHlZ3iqKAU42oAB7-TaZMBzA288_C_220_140.jpg,CggYHlZ3iqKAU42oAB7-TaZMBzA288_C_220_140.jpg,北京,san-li-tun-tai-gu-li
c89dfdf5-c1f7-423b-8fcc-bbe146fc20c1,宜家家居（四元桥店）,北京市朝阳区阜通东大街59号（四元桥西北角）,https://you.ctrip.com/shopping/beijing1/107664.html,9,4.6,https://dimg04.c-ctrip.com/images/100b0z000000nnqm5B2E8_C_220_140.jpg,100b0z000000nnqm5B2E8_C_220_140.jpg,北京,yi-jia-jia-ju-si-yuan-qiao-dian
2fb9d855-9d78-4104-96df-dd94f0aaac3c,侨福芳草地购物中心,东大桥路9号(尚都SOHO对面),https://you.ctrip.com/shopping/beijing1/1369872.html,10,4.7,https://dimg04.c-ctrip.com/images/10020h0000008uj0j08C3_C_220_140.jpg,10020h0000008uj0j08C3_C_220_140.jpg,北京,qiao-fu-fang-cao-di-gou-wu-zhong-xin
d8006726-a964-4e19-a2ee-587932446011,喜隆多新国际购物中心,阜石路300号（近苹果园）,https://you.ctrip.com/shopping/beijing1/1369937.html,11,4.5,https://dimg04.c-ctrip.com/images/01A14120009bxjoa062DB_C_220_140.jpg,01A14120009bxjoa062DB_C_220_140.jpg,北京,xi-long-duo-xin-guo-ji-gou-wu-zhong-xin
857aa892-54c1-46d1-acfa-50f5f816e954,北京市百货大楼,王府井大街255号(东安市场对面),https://you.ctrip.com/shopping/beijing1/1453043.html,12,4.7,https://dimg04.c-ctrip.com/images/1A081700000133pue2BD1_C_220_140.jpg,1A081700000133pue2BD1_C_220_140.jpg,北京,bei-jing-shi-bai-huo-da-lou
