names,places,links,imgs,popularity,scores,addresses
卡塞拉自然公园,毛里求斯,https://you.ctrip.com/sight/mauritius444/134704.html,https://dimg04.c-ctrip.com/images/10091f000001gsoqaAD2A_C_220_140.jpg,8.9,4.6,"Royal Road, Cascavelle, Mauritius"
海豚湾,毛里求斯,https://you.ctrip.com/sight/mauritius444/1411126.html,https://dimg04.c-ctrip.com/images/100w0d0000006sra7B668_C_220_140.jpg,8.5,4.5,"Baie du Tamarin, Mauritius"
鹿岛,毛里求斯,https://you.ctrip.com/sight/mauritius444/134695.html,https://dimg04.c-ctrip.com/images/10061f000001gquiw09B3_C_220_140.jpg,8.8,4.6,塞尔夫岛
莫纳山,毛里求斯,https://you.ctrip.com/sight/mauritius444/136932.html,https://dimg04.c-ctrip.com/images/100w1f000001gwad636CF_C_220_140.jpg,5.7,4.2,毛里求斯西南角
路易港,毛里求斯,https://you.ctrip.com/sight/portlouis1637051/14203.html,https://dimg04.c-ctrip.com/images/100f0z000000nbkle5815_C_220_140.jpg,8.1,4.4,"Port Louis, Mauritius"
蓝湾,毛里求斯,https://you.ctrip.com/sight/mauritius444/1685835.html,https://dimg04.c-ctrip.com/images/100u0d0000006srebD17B_C_220_140.jpg,7.6,4.5,"Blue Bay, Mauritius"
天涯海角,毛里求斯,https://you.ctrip.com/sight/mauritius444/1789013.html,https://dimg04.c-ctrip.com/images/0104l120009e12okxBA9A_C_220_140.jpg,7.0,4.4,"B9, Baie du Cap, Savannah, Mauritius"
七色土,毛里求斯,https://you.ctrip.com/sight/mauritius444/134697.html,https://dimg04.c-ctrip.com/images/10031f000001gs1fl808F_C_220_140.jpg,7.6,4.3,"7 Colored Earth Road, Chamarel,"
红顶教堂,毛里求斯,https://you.ctrip.com/sight/mauritius444/134703.html,https://dimg04.c-ctrip.com/images/100o0z000000niuzk4EEC_C_220_140.jpg,8.3,4.5,"Cap Malheureux, Mauritius"
黑河谷国家公园,毛里求斯,https://you.ctrip.com/sight/mauritius444/14209.html,https://dimg04.c-ctrip.com/images/01014120008i5hqwrF8B2_C_220_140.jpg,6.4,4.4,"B103 - Plaine Champagne Road, Mauritius"
