names,places,links,imgs,scores,address,ranks
普吉岛江西冷百货,普吉岛,https://you.ctrip.com/shopping/phuket364/1356122.html,https://dimg04.c-ctrip.com/images/fd/tg/g6/M0A/B4/28/CggYs1cd69GAOaAUAAXI0CaBYIc447_C_220_140.jpg,4.4,"Rat-u-thit 200 Pee Road, Tabol Patong, Amphur Kratu, Phuket 83150 Thailand",2
芭东夜市,普吉岛,https://you.ctrip.com/shopping/phuket364/138564.html,https://dimg04.c-ctrip.com/images/1A0s1c000001eb6ik6DBA_C_220_140.jpg,4.5,"OTOP Shopping Paradises 237/15-20 Patong BeachRat Uthit, ถนน 200 Kathu, Amphoe Kathu, Chang Wat Phuket 83150泰国",3
泰国王权免税店（普吉岛市区店）,普吉岛,https://you.ctrip.com/shopping/phuket364/7103.html,https://dimg04.c-ctrip.com/images/100i0g0000007orz944F6_C_220_140.jpg,4.1,"""88/88 Chao Fah Tawan Tok Road Moo 2, Vichit, Muang, Phuket, Thailand,83000""",4
班赞生鲜市场,普吉岛,https://you.ctrip.com/shopping/phuket364/1356134.html,https://dimg04.c-ctrip.com/images/100q0z000000nl80s6481_C_220_140.jpg,4.3,"181 Rat-U-Thit 200 Pee Rd., T. Patong, Kathu, Phuket",5
普吉周末市场,普吉岛,https://you.ctrip.com/shopping/phuket364/1356123.html,https://dimg04.c-ctrip.com/images/100b190000016fq5s945D_C_220_140.jpg,4.3,"Tambon Wichit, Amphoe Mueang Phuket，Chang Wat Phuket 83000，",6
Big C（普吉镇店）,普吉岛,https://you.ctrip.com/shopping/phuket364/138569.html,https://dimg04.c-ctrip.com/images/20050t000000iifym961A_C_220_140.jpg,4.5,"72 Moo 5, Vichit, Muang, Mueang Phuket District, Phuket 83000",7
博姿（普吉岛总店）,普吉岛,https://you.ctrip.com/shopping/phuket364/1356138.html,https://dimg04.c-ctrip.com/images/100b0f0000007muypC8B4_C_220_140.jpg,4.4,"Unit 230, 2nd Floor, Central Festival Phuket, 74-75 Moo 5 Tambin Vichit , Mueng Phuket, Phuket83000",8
泰国王权免税店（普吉岛机场店）,普吉岛,https://you.ctrip.com/shopping/phuket364/1356137.html,https://dimg04.c-ctrip.com/images/100b0g0000007or10BF7D_C_220_140.jpg,4.3,"222 Moo 6 Tambon Maikhao, Talang District, Phuket 83110",9
罗宾逊百货商场,普吉岛,https://you.ctrip.com/shopping/phuket364/1356136.html,https://dimg04.c-ctrip.com/images/100e0c00000067bbxFFDF_C_220_140.jpg,4.2,"Talat Yai, Mueang Phuket 83000",10
芭东海洋广场,普吉岛,https://you.ctrip.com/shopping/phuket364/1356125.html,https://dimg04.c-ctrip.com/images/1A0d13000000v2ral3C4A_C_220_140.jpg,4.2,"Thawi Wong Road , PA Tong , 83150 Kathu, Phuket, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150",11
中国城,普吉岛,https://you.ctrip.com/shopping/phuket364/1447844.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M01/CA/4A/CghzgVW7TBSARI-cAAA6ElKZY5c811_C_220_140.jpg,4.3,"74-75 Moo 5, Central Festival Phuket 1st Floor, Vichitsongkram Road, Tambon Vichit, Amphoe Muang, Phuket, 83000",12
Banana Walk,普吉岛,https://you.ctrip.com/shopping/phuket364/1447860.html,https://dimg04.c-ctrip.com/images/fd/tg/g4/M09/9C/CD/CggYHVaWAwuAUluSAACXYsQOreI674_C_220_140.jpg,4.3,"124/11 Taweewong Road, Patong,Kathu, Phucket 81350",13
Big C（江西冷店）,普吉岛,https://you.ctrip.com/shopping/phuket364/1439439.html,https://dimg04.c-ctrip.com/images/100j190000016uo2h0A06_C_220_140.jpg,4.5,"201 Rat U-Thit 200 Pee Rd., Patong Kathu, Kathu District, Phuket",14
普吉镇夜市,普吉岛,https://you.ctrip.com/shopping/phuket364/1356124.html,https://dimg04.c-ctrip.com/images/1A0f1d000001ec3hn2D6D_C_220_140.jpg,4.3,"Soi Hap Ek, Wichit, Mueang Phuket District, Phuket 83000",15
