names,places,links,imgs,popularity,scores,addresses
特埃蒂娜教堂,慕尼黑,https://you.ctrip.com/sight/munich572/134422.html,https://dimg04.c-ctrip.com/images/10031f000001gs19c84FC_C_220_140.jpg,5.4,4.4,"Theatinerstr. 22, 80333 Munich, Bavaria, Germany"
玛利亚纪念柱,慕尼黑,https://you.ctrip.com/sight/munich572/1414461.html,https://dimg04.c-ctrip.com/images/10091f000001gsn6329C0_C_220_140.jpg,5.4,4.3,"Marienplatz 8, 80331 Munich"
新天鹅堡,慕尼黑,https://you.ctrip.com/sight/schwangau25595/22578.html,https://dimg07.c-ctrip.com/images/100i0u000000izstbEF79_C_220_140.jpg,10,4.6,"Neuschwansteinstrasse 20, 87645 Schwangau, Germany"
老绘画陈列馆,慕尼黑,https://you.ctrip.com/sight/munich572/134424.html,https://dimg04.c-ctrip.com/images/1A0u180000013ossiEDDD_C_220_140.jpg,5.2,4.2,"Barer Street 27 | Entrance Theresienstrasse, 80333 Munich, Bavaria, Germany"
特蕾西娅草坪,慕尼黑,https://you.ctrip.com/sight/munich572/1414456.html,https://dimg04.c-ctrip.com/images/fd/tg/g4/M04/7E/8D/CggYHlZ7uTmAYHsKABTfHpufYEk482_C_220_140.jpg,5.2,4.5,"Munich, Bavaria, Germany"
国王广场,慕尼黑,https://you.ctrip.com/sight/munich572/22548.html,https://dimg04.c-ctrip.com/images/100n1f000001gpb497374_C_220_140.jpg,5.1,4.3,"Konigsplatz 1, 80333, 80333 Munich, Bavaria, Germany"
圣弥额尔教堂,慕尼黑,https://you.ctrip.com/sight/munich572/1414445.html,https://dimg04.c-ctrip.com/images/10060z000000n796c6622_C_220_140.jpg,5.0,4.5,"Neuhauser Str. 6, 80331 Munich, Bavaria, Germany"
中国塔,慕尼黑,https://you.ctrip.com/sight/munich572/54160.html,https://dimg04.c-ctrip.com/images/100k1f000001guhskD859_C_220_140.jpg,5.0,4.4,"Englischer Garten 3, 80538 Munich"
慕尼黑美术博物院,慕尼黑,https://you.ctrip.com/sight/munich572/54155.html,https://dimg04.c-ctrip.com/images/0ww1g12000b7eyhmr6D0E_C_220_140.jpg,5.0,4.4,"Barer Str. 40, 80333 Munich, Bavaria, Germany"
慕尼黑动物园,慕尼黑,https://you.ctrip.com/sight/munich572/2230704.html,https://dimg04.c-ctrip.com/images/ww0j1f000001gnrt603B8_C_220_140.png,4.9,3.8,"Tierparkstrasse 30, 81543 Munich, Bavaria, Germany"
屈维利耶剧场,慕尼黑,https://you.ctrip.com/sight/munich572/2227301.html,https://dimg04.c-ctrip.com/images/0ww14120009rlebqn4103_C_220_140.jpg,4.8,4.6,"Residenzstrasse 1 | Downtown, 80333 Munich, Bavaria, Germany"
宁芬堡宫园林,慕尼黑,https://you.ctrip.com/sight/munich572/1414441.html,https://dimg04.c-ctrip.com/images/100v0z000000nredx5135_C_220_140.jpg,4.8,4.5,"Nymphenburg Palace, 80638 Munich"
圣神教堂,慕尼黑,https://you.ctrip.com/sight/munich572/1414483.html,https://dimg04.c-ctrip.com/images/fd/tg/g3/M09/77/40/CggYG1Z7ubuAQCUTACBuGPHvO_o899_C_220_140.jpg,4.8,4.5,"Praelat-Miller-Weg 1, 80331 Munich, Bavaria, Germany"
鱼泉许愿池,慕尼黑,https://you.ctrip.com/sight/munich572/1414452.html,https://dimg04.c-ctrip.com/images/ww0m1e000001ftdsg6538_C_220_140.jpg,4.7,4.5,"Marienplatz, 80331 Munich, Bavaria, Germany"
伊萨尔门,慕尼黑,https://you.ctrip.com/sight/munich572/1745165.html,https://dimg04.c-ctrip.com/images/01062120008js1yoaD136_C_220_140.jpg,4.6,4.4,"Tal 43, 80331 Munich, Bavaria, Germany"
圣路易堂,慕尼黑,https://you.ctrip.com/sight/munich572/1414477.html,https://dimg04.c-ctrip.com/images/0102m120008g1kpsx2D40_C_220_140.jpg,4.5,4.4,"Ludwigstrasse 22, 80539 Munich, Bavaria, Germany"
玛丽恩市政广场,慕尼黑,https://you.ctrip.com/sight/munich572/122979.html,https://dimg04.c-ctrip.com/images/0100y120008g1xms2195A_C_220_140.jpg,4.4,4.8,慕尼黑古城区
新绘画陈列馆,慕尼黑,https://you.ctrip.com/sight/munich572/1414478.html,https://dimg03.c-ctrip.com/images/0ww3y12000aeskffh7D1E_C_220_140.jpg,4.4,4.2,"Barer Str. 29, 80799 Munich, Germany"
啤酒节博物馆,慕尼黑,https://you.ctrip.com/sight/munich572/1744605.html,https://dimg04.c-ctrip.com/images/100c1f000001gswwj4D5D_C_220_140.jpg,4.4,4.5,"Sterneckerstr. 2, 80331 Munich, Bavaria, Germany"
达豪集中营遗址,慕尼黑,https://you.ctrip.com/sight/dachau25848/142307.html,https://dimg04.c-ctrip.com/images/0ww0212000ar6nb4h0CD2_C_220_140.jpg,4.4,4.4,Old Römerstrasse 75 85221 Dachau Germany
马克西米里安街,慕尼黑,https://you.ctrip.com/sight/munich572/1414447.html,https://dimg04.c-ctrip.com/images/0104v120009i6pb8lD15F_C_220_140.jpg,4.2,4.5,"80331 Munich, Bavaria, Germany"
奥林匹克塔,慕尼黑,https://you.ctrip.com/sight/munich572/1744811.html,https://dimg04.c-ctrip.com/images/100e1f000001gszxs270E_C_220_140.jpg,4.2,4.4,"Olympiapark, Munich, Bavaria, Germany"
艺术之家,慕尼黑,https://you.ctrip.com/sight/munich572/1414517.html,https://dimg04.c-ctrip.com/images/0105012000a2pa8zp0F2B_C_220_140.jpg,4.1,3.8,"Prinzregentenstrasse 1, 80538 Munich, Bavaria, Germany"
古代雕塑展览馆,慕尼黑,https://you.ctrip.com/sight/munich572/1414466.html,https://dimg04.c-ctrip.com/images/0105o120008jf66r2029C_C_220_140.jpg,3.8,4.2,"Königsplatz 3, 80333 Munich, Germany"
匈牙利国会大厦,布达佩斯,https://you.ctrip.com/sight/budapest1109/52508.html,https://dimg04.c-ctrip.com/images/100e1f000001gt0ouD105_C_220_140.jpg,8.3,4.7,"Budapest, Kossuth Lajos tér 1-3, 1055"
渔人堡,布达佩斯,https://you.ctrip.com/sight/budapest1109/52511.html,https://dimg04.c-ctrip.com/images/100l1f000001gqfcy5220_C_220_140.jpg,8.6,4.7,"Budapest, Szentháromság tér, 1014 Hungary"
链子桥,布达佩斯,https://you.ctrip.com/sight/budapest1109/52512.html,https://dimg04.c-ctrip.com/images/10030m000000dglrl022B_C_220_140.jpg,7.9,4.7,"Budapest, Széchenyi Lánchíd, 1051"
布达皇宫,布达佩斯,https://you.ctrip.com/sight/budapest1109/52517.html,https://dimg04.c-ctrip.com/images/100g1f000001gqx3o4609_C_220_140.jpg,7.6,4.5,"Budapest, St. George's Square 2, 1014"
马加什教堂,布达佩斯,https://you.ctrip.com/sight/budapest1109/52510.html,https://dimg04.c-ctrip.com/images/100c1f000001gsz9z35AB_C_220_140.jpg,7.8,4.6,"H-1014 Budapest, Szentháromság tér 2."
英雄广场,布达佩斯,https://you.ctrip.com/sight/budapest1109/52520.html,https://dimg04.c-ctrip.com/images/100g1f000001gqy5eDE28_C_220_140.jpg,7.2,4.6,"Budapest, Heroes' Square, 1146"
多瑙河游船观光,布达佩斯,https://you.ctrip.com/sight/budapest1109/2489716.html,https://dimg04.c-ctrip.com/images/100n1f000001gpcomDB26_C_220_140.jpg,6.0,4.8,"Duna Palota, 1051 Zrinyi Street, 5, Budapest"
城堡山,布达佩斯,https://you.ctrip.com/sight/budapest1109/1483261.html,https://dimg04.c-ctrip.com/images/0101m120008ieap8v597F_C_220_140.jpg,7.2,4.5,"Szent Gyorgy Ter, Budapest, 1014, Hungary"
圣伊什特万圣殿,布达佩斯,https://you.ctrip.com/sight/budapest1109/52521.html,https://dimg04.c-ctrip.com/images/10031f000001gryf0A59B_C_220_140.jpg,7.1,4.6,"1051 Budapest, St. Stephen's Square"
匈牙利国家博物馆,布达佩斯,https://you.ctrip.com/sight/budapest1109/137417.html,https://dimg04.c-ctrip.com/images/0107212000bbe1b6n6410_C_220_140.jpg,5.7,4.2,"Muzeum korut 14-16, Budapest 1088, Hungary"
塞切尼温泉浴场,布达佩斯,https://you.ctrip.com/sight/budapest1109/79254.html,https://dimg04.c-ctrip.com/images/1A081b000001bk2gsD00F_C_220_140.jpg,7.0,4.5,"Zoo Boulevard 9-11, Budapest 1146, Hungary"
国家歌剧院,布达佩斯,https://you.ctrip.com/sight/budapest1109/134973.html,https://dimg04.c-ctrip.com/images/100w0z000000no0jm1B88_C_220_140.jpg,6.3,4.4,"H-1061 Budapest, Andrássy út 22."
多瑙河畔鞋,布达佩斯,https://you.ctrip.com/sight/budapest1109/1483084.html,https://dimg04.c-ctrip.com/images/1A02190000016u7g91635_C_220_140.jpg,6.2,4.2,"Budapest, Id. Antall József rkp., 1054 Hungary"
安德拉什大街,布达佩斯,https://you.ctrip.com/sight/budapest1109/52522.html,https://dimg04.c-ctrip.com/images/1A011b000001c3fqm3C97_C_220_140.jpg,6.2,4.4,"Andrassy ut, Budapest 1061, Hungary"
自由桥,布达佩斯,https://you.ctrip.com/sight/budapest1109/1483151.html,https://dimg06.c-ctrip.com/images/0103v120008i7gkfzAE0B_C_220_140.jpg,6.0,4.6,"Budapest, Hungary"
瓦茨街,布达佩斯,https://you.ctrip.com/sight/budapest1109/1788590.html,https://dimg04.c-ctrip.com/images/fd/tg/g6/M09/F1/45/CggYs1ce4xeAGmr3ABJJe01EAL8384_C_220_140.jpg,6.0,4.3,"Budapest 1056, Hungary"
盖勒特浴场,布达佩斯,https://you.ctrip.com/sight/budapest1109/81902.html,https://dimg04.c-ctrip.com/images/10021f000001gxcja7D38_C_220_140.jpg,5.9,4.2,"Budapest, Kelenhegyi út 4, 1118 匈牙利"
自由山,布达佩斯,https://you.ctrip.com/sight/budapest1109/134975.html,https://dimg07.c-ctrip.com/images/0103y120009e4277k3EBA_C_220_140.jpg,5.7,4.6,"Buda, District 1 | next to Citadel, Budapest, Hungary"
城市公园,布达佩斯,https://you.ctrip.com/sight/budapest1109/52523.html,https://dimg04.c-ctrip.com/images/100h1f000001grtcgACBD_C_220_140.jpg,5.6,4.3,英雄广场东面
匈牙利国家美术馆,布达佩斯,https://you.ctrip.com/sight/budapest1109/1483094.html,https://dimg04.c-ctrip.com/images/1A0v11000000r94qlD9E8_C_220_140.jpg,5.6,4.4,"St. George's Square 2 | Budavari Palace, Budapest 1014, Hungary"
