names,places,links,imgs,scores,address,ranks
JohnZiel Paints N.V.,帕拉马里博,https://you.ctrip.com/shopping/paramaribo22817/138963249.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"RRHQ+HG7, Keizer St, Paramaribo, Suriname",45
Via Shopping Barreiro,贝洛奥里藏特,https://you.ctrip.com/shopping/barreiro139480/2567922.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/FD/CghzfFW7TBSADCwmAAA_QkCyQxc009_C_220_140.jpg,,"Avenida Afonso Vaz de Melo 640, Belo Horizonte, State of Minas Gerais 30640-070, Brazil",1
BH Outlet,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/2567920.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/FD/CghzfFW7TBSADCwmAAA_QkCyQxc009_C_220_140.jpg,,"Rodovia Br-356 7515, Belo Horizonte, State of Minas Gerais 30320-765, Brazil",2
Lojas Americanas,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/5263936.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"Shopping Pátio Savassi, Avenida do Contorno, 6061, Lojas 115-119, São Pedro, Belo Horizonte - MG, Brazil",3
Santa Cruz Acabamentos,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/5293815.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"Avenida Presidente Carlos Luz, 2000 - Caiçaras, Belo Horizonte - MG, 31250-810, Brasil",4
Hering,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/5297813.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"Avenida do Contorno, 6061 - Funcionários, Belo Horizonte - MG, Brazil",5
Shopping Del Rey,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/5352894.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"Avenida Presidente Carlos Luz 3001 | Pampulha, Belo Horizonte, State of Minas Gerais 31250-010, Brazil",6
Boulevard Shopping,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/5276189.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"Av. dos Andradas, 3000, Santa Efigênia , Belo Horizonte - 30260-070, Brasil",7
Ponteio Lar Shopping,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/5282282.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"Rodovia BR-356 - Pista Lateral, 2500 - Belvedere, Belo Horizonte - MG, Brazil",8
BH2 Mall,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/2635309.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,"Av. Luiz Paulo Franco, 500,Belo Horizonte - MG,Brazil",9
Paragás,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/5291012.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"Avenida Professor Mário Werneck, 1360 - Estoril, Belo Horizonte - MG, Brazil",10
Renner Center,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/5309996.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"Rua Expedicionário Sebastião Pires, 1151 - Sarandí, RS, Brasil",11
Dadalto,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/5291016.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"Av. Cristiano Machado, 4000 - União, Belo Horizonte - MG, Brazil",12
Café Riachuelo,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/5290011.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"Avenida Dom Pedro II, 343 - Carlos Prates, Belo Horizonte - MG, Brazil",13
Reservatto Campinas,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/5340461.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"Rua José Augusto Silva, 1281,",14
Intimissimi,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/105800532.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,,"Av. Olegário Maciel, N 1600-Luc Om-68 Belo Horizonte Minas Gerais 30180-111",15
Néctar do Cerrado,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/136116985.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"Rua Ouro Fino 452 Shop 2B, Belo Horizonte, State of Minas Gerais 30310-110 Brazil",16
CASA COSTA,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/138573096.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"Av. Augusto de Lima, 744 - Loja 61 - Centro, Belo Horizonte - MG, 30190-922, Brazil",17
Jacuí Center,贝洛奥里藏特,https://you.ctrip.com/shopping/belohorizonte13862/136942945.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,"R. Jacuí, 505 - Floresta, Belo Horizonte - MG, 31110-050, Brazil",18
