names,places,imgs
拉美西斯三世陵墓,卢克索,https://dimg04.c-ctrip.com/images/0102812000a7qpk6vE265_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/fd/tg/g5/M06/3B/0E/CggYsFawgjKAf5_dACrbk0HXMIo172_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/fd/tg/g6/M05/39/C6/CggYtFawhG-AUKvXABqHEIRQ_ow620_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/fd/tg/g4/M09/5F/E4/CggYHlawg8-AC80gAB3wVV64bQ0536_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/fd/tg/g5/M06/3A/72/CggYr1awgrmAOUrhACX3ENCHluk689_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100n170000011esez977A_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/1008170000011fx9c4F2D_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100r170000011e5f97BE3_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100r180000014h5mi55D6_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100t180000014but0CDD9_R_228_10000.png
贵族墓,卢克索,https://dimg04.c-ctrip.com/images/100a16000000yz8xc5F33_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100u16000000yxwd5D227_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww33120006nwytfdEA17_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww2n120006nwyq69B083_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww31120006nwyrs77C8E_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww57120006nwynmj7C0B_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww39120006nwydef25DB_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww56120006nwybfp0939_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100m1d000001egmg7CB35_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/1001180000014oq7bAA92_R_228_10000.jpg
Luxor Sound and Light Show,卢克索,https://dimg04.c-ctrip.com/images/100u1f000001gq72370DA_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww0v12000b8uvg3aBF06_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww6412000agbrvt2975D_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww3h12000agbrzj59B40_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww2212000a9u8lec6FD5_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww1112000a9u8uje88F5_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0101t1200081cizthFAB9_R_228_10000.jpg
王后谷,卢克索,https://dimg04.c-ctrip.com/images/fd/tg/g2/M04/8E/2D/CghzgFWxBtaAZmsDABOAZq4W-T0822_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100r18000001467n8EBD5_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/1009180000014a6yx8A67_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100a1d000001ejtcvA43B_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/1005180000014aanc5092_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100u1800000147rg54445_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100r180000014a7ob36B0_R_228_10000.png->https://dimg04.c-ctrip.com/images/1007180000014sh2m3A85_R_228_10000.jpg
哈加格清真寺,卢克索,https://dimg04.c-ctrip.com/images/10051f000001gstmj1C45_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/fd/tg/g6/M02/39/C9/CggYslawg0aAXc2BACPIIR7kZZo590_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/fd/tg/g5/M00/3B/0F/CggYsFawgnyAZSUNABEl5-X9wmk035_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/fd/tg/g3/M00/25/DA/CggYG1bMJk2AS92xAALI62oWn38972_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/fd/tg/g6/M0B/13/79/CggYs1bMJkyAVlGFAAChDgw2AtE665_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100k1d000001ebf58BE0A_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100a1d000001e8k598CFC_R_228_10000.jpg
塞提一世神庙,卢克索,https://dimg04.c-ctrip.com/images/100u1f000001gq7zhA4AA_R_228_10000.jpg
哈索尔神庙,卢克索,https://dimg04.c-ctrip.com/images/01053120008inlx1xE1C4_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/01061120008infyu78B5B_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0103m120008inngq12536_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100q0h00000092x0fF11E_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100c0h00000093kdyAF22_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100u0h00000092r2z24E7_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/fd/tg/g6/M02/12/F9/CggYtFbMJomAfjDlAAGvuBPRokg086_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/fd/tg/g3/M06/27/8E/CggYGVbMJoaAd4WvAAGvJf1IR-M192_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/10081f000001g4clz0539_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100s1d000001eimok894A_R_228_10000.jpg
Howard Carter House,卢克索,https://dimg04.c-ctrip.com/images/100n1f000001gpck03F5D_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/fd/tg/g4/M06/41/89/CggYHFbMKLSAcBLJAACb59NSWVg274_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/fd/tg/g5/M06/15/3E/CggYsVbMKLOAQvudAACgee2wLa0611_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww2r12000aqwdkjj885E_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww6g12000aesm5u8F654_R_228_10000.jpg
Hod Hod Soliman Hot Air Balloo...,卢克索,https://dimg04.c-ctrip.com/images/0ww011200090iyaw014C5_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww091200090iy4m51398_R_228_10000.jpg
斯芬克斯大道,卢克索,https://dimg04.c-ctrip.com/images/100c1f000001gsz8oC248_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100v1d000001emspcA8A9_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/10011d000001eoo8qDC62_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100p1d000001eavlqB2B6_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/10021d000001eitt5A0BE_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100h1d000001edbmfF507_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/10031d000001edh51A395_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100g1d000001ecfvaCA3F_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/10041d000001eaqax04E8_R_228_10000.jpg
