names,places,imgs
Independence Monument,恩德培,https://dimg04.c-ctrip.com/images/100s1f000001gx64eCD62_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww0x120006ogprov5B3E_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww59120006ogphhn2ED1_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww0s120006ogpfqnBA47_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww4x120006ogp06x87E6_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww41120006ogov3y3B1D_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww3x120006ogorgk483C_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww66120006ogopxa48BF_R_228_10000.jpg
Entebbe Botanic Gardens,恩德培,https://dimg04.c-ctrip.com/images/0ww6h12000arnytlyF3DD_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww3z12000arnya7y3FBB_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww0212000arnytk69F7F_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/ww0i1f000001gnlb578FA_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww031f000001gqi0f7A9A_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww031f000001gqi0e4AFD_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0k1f000001gsyd36A5E_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww081f000001goyte24EB_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0n1f000001gntzgD739_R_228_10000.png
Uganda Wildlife Education Cent...,恩德培,https://dimg04.c-ctrip.com/images/0ww1m120008yfbrgc3D14_R_228_10000.jpg
Encounter Africa Safaris Ltd,恩德培,https://dimg04.c-ctrip.com/images/0ww26120008yhwqnf3997_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww6h120008ykrhqz2039_R_228_10000.jpg
Gorillas and Wildlife Safaris,恩德培,https://dimg08.c-ctrip.com/images/0ww3v1200094degkn3D5E_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww3o1200094dei7p04D7_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww651200094defrm748D_R_228_10000.jpg
尼罗河源头,恩德培,https://dimg04.c-ctrip.com/images/10081f000001gqha68B06_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100u1g000001h4n337E41_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100n190000016vowj0E78_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100p190000016vrxi123A_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100s1f000001gbb786520_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100h190000016y7cb1DCD_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100v1d000001eoe7o4A95_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100i1d000001ec5zjCEFE_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100s190000015wapd7D3C_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/100n190000015oh9f035F_R_228_10000.jpg
Ngamba Island Chimpanzee Sanct...,恩德培,https://dimg04.c-ctrip.com/images/ww0n1e000001ext9n9A41_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0n1e000001ext9o8A22_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww021e000001f5tyh0ADD_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0l1e000001eyx3v8EC6_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0p1e000001exvvx6825_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0o1e000001exlde57D2_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0h1e000001f0bq60B8D_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0w1e000001f4sc7AC82_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0f1e000001eyrtaA0FE_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0b1e000001f153k951B_R_228_10000.png
Gorillas and Beyond Safari,恩德培,https://dimg04.c-ctrip.com/images/0ww0u12000954lpt620AA_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww1412000954lxhtC190_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww6g12000954m4u437E9_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww4h12000954lxbt80CE_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww0z12000954lie11927_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww5k12000954m4u30D89_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww1j12000954lzop7460_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww6m12000954lm7n89C7_R_228_10000.jpg
Bike2go Entebbe,恩德培,https://dimg04.c-ctrip.com/images/0ww1d12000amkd7hx54E7_R_228_10000.jpg
Uganda Reptile Village,恩德培,https://dimg04.c-ctrip.com/images/ww011e000001facnh15E7_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww061e000001ey1n1EF8C_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0q1e000001eypmeFD01_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0q1e000001eypla1B35_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0w1e000001f3ge9474D_R_228_10000.png
