names,places,addresses,times,teles,titles,descs
Ndere Centre,恩德培,"Plot 2872 - 9867 Butukirwa | PO Box 11353, Kampala, Uganda",明日06:00开放,+256 41 4597704,开放时间,全年 6:00-12:00
Saso Uganda Safaris,恩德培,"坎帕拉, 乌干达",8:30-17:30开放,+256 775 564060,开放时间,全年 周一-周六 8:30-17:30
Gorilla Holidays,恩德培,"恩德培, 乌干达",,,景点介绍,
Go Gorilla Trekking,恩德培,"吉佳利, 卢旺达",09:00-17:00开放,+256 772 072909,开放时间,全年 周六-周日 09:00-17:00 周一-周五 08:00-18:00
Bushman Safaris,恩德培,"坎帕拉, 乌干达",,+256 39 3208400,开放时间,全年 周一-周五 08:00-17:30
The Gorilla Consultants,恩德培,"坎帕拉, 乌干达",,,景点介绍,
Raft Uganda,恩德培,"坎帕拉, 乌干达",,,景点介绍,
Kagera Safaris,恩德培,"坎帕拉, 乌干达",,+256 39 2176513,开放时间,"周一 - 周五上午9:00 - 下午5:00days: 周一 - 周五, times: 上午9:00 - 下午5:00,days: 周六, times: 上午9:00 - 下午1:00,"
Rubaga-Kathedrale,恩德培,"Mutesa Road, Kampala, Uganda",,,景点介绍,
Ultimate Wild Safaris,恩德培,"坎帕拉, 乌干达",8:30-14:30开放,+256 705 087906,开放时间,"全年 周二 8:30-17:00 周一,周三,周五 8:00-17:00 周四 8:00-17:30 周六 8:30-14:30"
