names,places,addresses,times,teles,titles,descs
Oxygène Experiences,卡萨布兰卡,"18 Rue Al Mansour El Abidi, Maarif, Casablanca 20370 Morocco",今日10:00开放,+212 5229-88566,开放时间,全年 10:00-21:00
Mausolee Sidi Abderrahmane,卡萨布兰卡,"Boulevard de l'Ocean Atlantique, Casablanca Morocco",,,景点介绍,
City Hall of Casablanca,卡萨布兰卡,"Place Mohammed V, Casablanca 20000 Morocco",,,景点介绍,
Gare de Casa Port,卡萨布兰卡,"Boulevard de Fes, Casablanca Morocco",,,景点介绍,
Cinema Rialto,卡萨布兰卡,"35 Rue Mohammed El Qori, Quartier Horloge, Casablanca 20000 Morocco",,,景点介绍,
Gauthier Bain Turc,卡萨布兰卡,"25 Rue Jean Jaures, Casablanca Morocco",,,景点介绍,
Maison d'Asa,卡萨布兰卡,"18, Rue Ibrahim Ennakhai, Casablanca Morocco",,+212 5229-96609,开放时间,"全年 周五,周日 10:00-20:00 周一-周四 11:00-20:00"
Foret De Bouskoura,卡萨布兰卡,"Bouskoura, Casablanca 20100 Morocco",,,景点介绍,
Grand Morocco,卡萨布兰卡,"卡萨布兰卡, 摩洛哥",07:00-23:30开放,+212667959990,开放时间,全年 07:00-23:30；周日 - 周六 上午7:00 - 下午11:30
Arko Prestige,卡萨布兰卡,"13 Bd Ain Sidi Ali Bourgogne Bourgogne, Casablanca 20250 Morocco",今日10:00开放,+212 5224-72949,开放时间,全年 10:00-23:00
