names,places,addresses,times,teles,titles,descs
Sun Trade Beads,阿克拉,"C522/3 Mango Tree Avenue, Asylum Down, Accra, Ghana",今日10:00开放,+233 30 223 5982,开放时间,全年 周一-周五 10:00-17:00 周六 10:00-16:00
Accra International Conference...,阿克拉,"Castle Rd, Accra, Ghana",,+233 24 445 2852,开放时间,全年 周一-周五 8:00-17:00
Blemawe Xpo Ghana,阿克拉,"阿克拉, 加纳",全天开放,+233 24 164 4694,开放时间,全年 周一-周六 全天开放
Accra Zoo,阿克拉,"Achimota forest, Accra, Ghana",今日09:00开放,+233 59 155 0051,开放时间,全年 9:00-16:00
Accra Arts Centre,阿克拉,"John Evans Atta Mills High St, Accra, Ghana",7:00-19:00开放,+233 55 846 3200,开放时间,全年 周一-周六 7:00-19:00
Cathedral Church of the Most H...,阿克拉,"GQRV+GJ6, Accra, Ghana",,,介绍,这是一座用红砖砌成的教堂，坐落在一个绿色的小花园内，人们可以在教堂内部看到很多古老的绘画。
Accra Central Mosque,阿克拉,"Ghana,Accra,Abose-Okai Rd,",,,景点介绍,
Supreme Court of Ghana,阿克拉,"Independence Avenue, Accra, Accra, Ghana",,,景点介绍,
Legon Botanical Gardens Ghana....,阿克拉,"Agbogba Junction, Off the, Haatso-Atomic Rd, Accra, Ghana",08:00-18:00开放,+233 26 236 6167,开放时间,全年 周一-周五 08:00-17:00 周六-周日 08:00-18:00
Accra Sports studium,阿克拉,"Starlets 91 rd, Accra, Ghana",,,景点介绍,
