names,places,addresses,times,teles,titles,descs
Tophet de Carthage,突尼斯,"Rue Hannibal, Tunis 2016 Tunisia",,,景点介绍,
Theatre Municipal de la Ville ...,突尼斯,"2 Rue de Greece, Tunis, Tunisia",,,开放时间,暂无
Place de L'Independance,突尼斯,"Tunis, Tunisia",,,景点介绍,
The Zoological Gardens,突尼斯,"| Belveder B.P 267, Tunis, Tunisia",,,景点介绍,
Carthage Land Les Berges Du La...,突尼斯,"Tunis, Tunisia",今日10:00开放,+216 70 020 820,开放时间,全年 周二 10:00-23:00 周一 全天开放 周三-周日 10:00-22:00；暂无
Catacombs,突尼斯,"Cartago, Tunis, Tunisia",,,景点介绍,
Mosquee Al Qods,突尼斯,"Boulevard Zubayr Ibn Al Awam Quartier de Roches Noires, Casablanca 20250 Morocco",,,景点介绍,
Oceanographic Museum,突尼斯,"28 Rue du 2 Mars 1934 | Salammbo, Carthage 2025, Tunisia",今日10:00开放,+216 71 730 420,开放时间,全年 周二-周日 10:00-18:00
Former Islamic Schools,突尼斯,"11 19 Rue des Libraires 13, Rue de La Medersa Slimania, Tunis 1006, Tunisia",,,景点介绍,
Dar Lasram,突尼斯,"24 Rue du Tribunal, Tunis 1006, Tunisia",,+216 71 563 618,开放时间,全年 周一-周五 8:00-16:00
