names,places,addresses,times,teles,titles,descs
Achimota Retail Centre,阿克拉,"8 Sir Charles Quist Road, Accra, Ghana",,,景点介绍,
Gallery 1957,阿克拉,"Gamel Abdul Nasser Avenue | Kempinski Hotel Gold Coast City, PMB 66 - Ministries, Accra, Ghana",今日11:00开放,+233 30 396 7575,开放时间,全年 周二-周六 11:00-19:00
Kane Kwei Carpentry Workshop,阿克拉,"Teshie First Junction | by Total Gas Station, Teshie 0000, Ghana",,,景点介绍,
Happy Art Academy,阿克拉,9w 5°37'32.3n 0°10'57. Near GS Plasa Behind Gulf House Tetteh Quarshie,今日10:00开放,+233 24 414 4746,开放时间,"全年 周一-周二,周四-周六 10:00-16:30"
War Games Paintball,阿克拉,"17-18 Block D, Community 22 Tema, Accra, Ghana",,,景点介绍,
Trashy Bags,阿克拉,"2 Shiakle Link | Abelenkpe, Accra, Ghana",,+233 30 277 6060,开放时间,"全年 周一-周五 08:30-17:30；days: 周一 - 周六, times: 上午9:00 - 下午6:00,"
Plotseven,阿克拉,"n. 7 Osu Close - Plot, Accra, Ghana",,,景点介绍,
Sajuna Beach Club,阿克拉,"Akosombo Road | between Senchi and Atimpoku, Tema, Ghana",,,介绍,海滩俱乐部有设计精美的私人海滩，您可以在白色的沙滩上烧烤，这里是您放松身心的好地方。
Nubuke Foundation,阿克拉,"7, Lome Cl, Accra, Ghana",今日10:00开放,+233 27 744 5596,开放时间,全年 周二-周六 10:00-17:00
Ecobank - Spintex Branch,阿克拉,"Spintex Rd, Accra, Ghana",今日09:00开放,+233 30 221 3999,开放时间,全年 周六 09:00-14:00 周一-周五 08:30-16:00
