names,places,addresses,times,teles,titles,descs
Madagascar Photography Museum,塔那那利佛,"3GJM+QG7, Antananarivo, 馬達加斯加",,,景点介绍,
Monument aux Morts,塔那那利佛,"Antananarivo, Madagascar",,,景点介绍,
Piratenmuseum in Antananarivo,塔那那利佛,"103 Rue de Liege, Antananarivo 101, Madagascar",,,景点介绍,
Cathedrale Catholique d Andoha...,塔那那利佛,"Lalana Justin Rajoro, Antananarivo 101, Madagascar",,,景点介绍,
Open-air markets: Andravoahang...,塔那那利佛,"Antananarivo, Madagascar",,,景点介绍,
Lisy Art Gallery - Souvenirs,塔那那利佛,"3GPV+P2Q, Lalana Vvs, Antananarivo, Madagascar",,,景点介绍,
Andafiavaratra Palace,塔那那利佛,"Lalana Ramboatiana, Antananarivo 101, Madagascar",,,景点介绍,
Bio Aroma,塔那那利佛,"54 Avenue du General Ramanantsoa | Isoraka, Antananarivo 101, Madagascar",,+261 20 22 326 30,开放时间,"days: 周日, times: 上午9:00 - 下午12:00,days: 周一 - 周六, times: 上午8:00 - 下午6:00,"
Parc National de Tsimanampetso...,塔那那利佛,Madagascar,,,景点介绍,
Ambohitsorohitra Palace,塔那那利佛,"Lalana Printsy Ratsimamanga Rd, Antananarivo 101, Madagascar",,,景点介绍,
