names,places,addresses,times,teles,titles,descs
Gullele Botanical Garden,亚的斯亚贝巴,"Within Gullele And Kolfe-Keranyo Subcities, Addis Ababa 1000, Ethiopia",,,景点介绍,
Meyazia 27 Square Monument,亚的斯亚贝巴,"Addis Ababa, Ethiopia",,,景点介绍,
Amazing Ethiopia,亚的斯亚贝巴,"亚的斯亚贝巴, 埃塞俄比亚",,,景点介绍,
Karls Square,亚的斯亚贝巴,"Addis Ababa, Ethiopia",,,景点介绍,
Addis Ababa Urban Adventures,亚的斯亚贝巴,"亚的斯亚贝巴, 埃塞俄比亚",,+251 93 848 6425,开放时间,暂无
Ras Dashen,亚的斯亚贝巴,"Addis Ababa 4229, Ethiopia",,,景点介绍,
National Theatre Art Gallery,亚的斯亚贝巴,"Near the National Theatre, Down Town Addis Ababa, Addis Ababa, Ethiopia",,,景点介绍,
St George Brewery,亚的斯亚贝巴,"Chad Street, Moscow Square, Addis Ababa 1000, Ethiopia",,,景点介绍,
Addis Ababa Golf Club,亚的斯亚贝巴,"Old Airport, Addis Ababa, Ethiopia",06:00-22:00开放,+251 11 320 1892,开放时间,"全年 06:00-22:00；days: 周日 - 周六, times: 上午8:00 - 下午4:00,"
Berhan Ethiopa Cultural Center...,亚的斯亚贝巴,"XQV2+R29, Addis Ababa, Ethiopia",,,景点介绍,
